id,pesan,kategori,label
150,Akun Bukalapak Anda login dari perangkat baru. Masukkan 294815 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
151,vagina banget,Kata Kasar & Ancaman,Berisiko
152,Pembayaran premi asuransi Rp41.000 berhasil. Polis Anda aktif hingga 15 September 2024.,Transaksi Aman,Tidak Berisiko
153,Login baru terdeteksi di akun Lazada Anda dari Surabaya. Masukkan kode verifikasi 074152 untuk amankan.,Pencurian Akun,Berisiko
154,Top up GoPay Rp39.000 berhasil. Saldo GoPay Anda: Rp900.000.,Transaksi Aman,Tidak Berisiko
155,tunggu aja lo gue bunuh,Kata Kasar & Ancaman,Berisiko
156,"Halo kak, saya dari Pos Indonesia. Paket Anda tertahan bea cukai. Bayar Rp24.000 ke DANA 082233445566 untuk dilepas.",Social Engineering,Berisiko
157,Ujian semester: 5 Desember 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
158,"Halo, ini kurir JNE. Paket Rp6 COD Anda akan dikirim. Konfirmasi alamat via 087712345678.",Social Engineering,Berisiko
159,lonte,Kata Kasar & Ancaman,Berisiko
160,E-money kamu berhasil diisi Rp200.000 di minimarket. Saldo sekarang Rp215.000.,Transaksi Aman,Tidak Berisiko
161,coli lo tahu gak kon,Kata Kasar & Ancaman,Berisiko
162,asu sama asu emang,Kata Kasar & Ancaman,Berisiko
163,udah diem brengsek perek,Kata Kasar & Ancaman,Berisiko
164,Anda memenangkan iPhone terbaru! Unduh form klaim di rb.gy/update-bri dan isi data untuk pengiriman.,Malware,Berisiko
165,Info cuaca: Hujan lebat diprediksi sore hari di wilayah Jakarta dan sekitarnya.,Informasi Umum,Tidak Berisiko
166,ngomong apa habisi,Kata Kasar & Ancaman,Berisiko
167,Kamu diundang ke acara pernikahan Rina & Doni pada 10 Agustus 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
168,tunggu aja lo gue colmek idiot,Kata Kasar & Ancaman,Berisiko
169,emang sundal dari sananya,Kata Kasar & Ancaman,Berisiko
170,Selamat! Nomor Anda terpilih program loyalitas Smartfren. Balas OTP yang dikirim ke CS kami di 08813216543.,Social Engineering,Berisiko
171,Pengingat: Deadline laporan keuangan Q11 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
172,bikin kesel keparat banget bodoh banget,Kata Kasar & Ancaman,Berisiko
173,"Assalamualaikum, ini Pak Umar ketua masjid. Pengajian malam Jumat ditunda pekan depan.",Jadwal & Kegiatan,Tidak Berisiko
174,PROMO: Tiket pesawat Bandung-Jakarta Rp41.000 PP. Booking sekarang di shorturl.at/hadiah sebelum habis.,Penipuan,Berisiko
175,Tagihan PDAM bulan ini Rp8.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
176,Donasi Rp1.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
177,"Info kebakaran kecil di pasar senen tadi sore, tidak ada korban jiwa.",Informasi Umum,Tidak Berisiko
178,eh sialan,Kata Kasar & Ancaman,Berisiko
179,Obat pelangsing herbal turun 4 kg dalam seminggu. Terbukti! Order ke 08813216543.,Penipuan,Berisiko
180,Cicilan bulan ke-1 dari 12 sebesar Rp33.000 berhasil didebet otomatis.,Transaksi Aman,Tidak Berisiko
181,Update: Jalan Balikpapan ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
182,sudah tau diri taik babi,Kata Kasar & Ancaman,Berisiko
183,Ini Tim Tokopedia. Toko Anda melanggar kebijakan. Hubungi 082233445566 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
184,dasar cuk lo!,Kata Kasar & Ancaman,Berisiko
185,Survey online bayar Rp10.000 per jawaban. Daftar gratis di shorturl.at/hadiah.,Penipuan,Berisiko
186,berani aja porno sama gue,Kata Kasar & Ancaman,Berisiko
187,Cicilan HP kamu Rp450.000/bulan sudah berhasil terpotong otomatis dari rekening.,Transaksi Aman,Tidak Berisiko
188,sekali lagi cabul lo brengsek,Kata Kasar & Ancaman,Berisiko
189,Tagihan PDAM bulan ini Rp24.000. Jatuh tempo: 5 Desember 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
190,"Selamat, Anda terpilih sebagai pemenang undian Bukalapak. Konfirmasi ke 08813216543 untuk klaim hadiah.",Social Engineering,Berisiko
191,yang bener aja gebuk kafir,Kata Kasar & Ancaman,Berisiko
192,Pemberitahuan darurat Permata: Saldo Rp4 juta akan dipotong. Batalkan di ow.ly/cek-akun.,Phishing,Berisiko
193,Peringatan keamanan BSI: PIN Anda dicoba 3 kali. Amankan akun di bit.do/verifikasi segera.,Phishing,Berisiko
194,tunggu aja lo gue kontol,Kata Kasar & Ancaman,Berisiko
195,Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 087712345678 untuk proses.,Social Engineering,Berisiko
196,Pengingat: Deadline laporan keuangan Q8 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
197,Tim keamanan BRI menemukan kebocoran data. Reset password di cutt.ly/cek-saldo segera.,Phishing,Berisiko
198,lo kira lo siapa sih rasis hajar,Kata Kasar & Ancaman,Berisiko
199,anak idiot,Kata Kasar & Ancaman,Berisiko
200,E-banking BSI Anda terindikasi diretas. Amankan sekarang di s.id/klaim-hadiah sebelum terlambat.,Phishing,Berisiko
201,bikin kesel asu banget iblis,Kata Kasar & Ancaman,Berisiko
202,lo kira lo siapa sih dungu rasis,Kata Kasar & Ancaman,Berisiko
203,"Agenda hari ini: Meeting klien 09.00, makan siang 12.00, presentasi 15.00.",Jadwal & Kegiatan,Tidak Berisiko
204,berani aja dasar bule sama gue pelacur,Kata Kasar & Ancaman,Berisiko
205,lo kira lo siapa sih pukul,Kata Kasar & Ancaman,Berisiko
206,Ujian semester: 1 Oktober 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
207,PROMO: Tiket pesawat Yogyakarta-Jakarta Rp1.000 PP. Booking sekarang di tinyurl.com/bca-verify sebelum habis.,Penipuan,Berisiko
208,Akun Shopee Anda login dari perangkat baru. Masukkan 074152 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
209,Ada yang mencoba masuk ke akun Lazada Anda. Verifikasi dengan kode 376429 atau akun akan dikunci.,Pencurian Akun,Berisiko
210,anjing!,Kata Kasar & Ancaman,Berisiko
211,taik banget,Kata Kasar & Ancaman,Berisiko
212,Peringatan keamanan BSI: PIN Anda dicoba 3 kali. Amankan akun di shorturl.at/hadiah segera.,Phishing,Berisiko
213,Cicilan bulan ke-4 dari 12 sebesar Rp15.000 berhasil didebet otomatis.,Transaksi Aman,Tidak Berisiko
214,dasar lo colmek emang,Kata Kasar & Ancaman,Berisiko
215,lo pikir lo siapa porno,Kata Kasar & Ancaman,Berisiko
216,Hadiah ulang tahun CIMB untuk nasabah setia: Rp3 juta menanti di ow.ly/cek-akun.,Phishing,Berisiko
217,Reset PIN Mandiri diminta. Kode keamanan Anda: 294815. Jangan berikan kepada siapapun.,Pencurian Akun,Berisiko
218,Akun BRI Anda terdeteksi aktivitas mencurigakan. Verifikasi segera di shorturl.at/hadiah atau akun diblokir 24 jam.,Phishing,Berisiko
219,Selamat! Kartu kredit BCA Anda memenangkan cashback Rp19 juta. Klik bit.do/verifikasi untuk klaim.,Phishing,Berisiko
220,Besok jadi ikut camping? Gue udah siap tenda nih!,Percakapan Biasa,Tidak Berisiko
221,pukul,Kata Kasar & Ancaman,Berisiko
222,emang rasis dari sananya,Kata Kasar & Ancaman,Berisiko
223,lo emang keparat dari dulu,Kata Kasar & Ancaman,Berisiko
224,jangan sampe ketemu bugil lo nanti,Kata Kasar & Ancaman,Berisiko
225,Notifikasi: Tagihan kartu kredit BTN bulan ini Rp8.000. Jatuh tempo 1 Oktober 2024.,Transaksi Aman,Tidak Berisiko
226,Selamat! Nomor Anda terpilih program loyalitas Indosat. Balas OTP yang dikirim ke CS kami di 08813216543.,Social Engineering,Berisiko
227,"Seseorang meminta reset password akun Bukalapak Anda. Masukkan kode 741836 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
228,Sistem BRI mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
229,"Pinjaman online cair 5 menit tanpa jaminan, tanpa BI checking. Proses di rb.gy/login-secure.",Penipuan,Berisiko
230,"Jadwal penerbangan: Semarang-Bali, 15 September 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
231,Ujian semester: 15 September 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
232,Tagihan PDAM bulan ini Rp27.000. Jatuh tempo: 15 September 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
233,sekali lagi jahanam lo,Kata Kasar & Ancaman,Berisiko
234,Struk belanja: Total Rp16.000. Terima kasih sudah berbelanja di Lazada.,Transaksi Aman,Tidak Berisiko
235,mukanya kayak colmek,Kata Kasar & Ancaman,Berisiko
236,E-banking BSI Anda terindikasi diretas. Amankan sekarang di rb.gy/update-bri sebelum terlambat.,Phishing,Berisiko
237,omongannya terkutuk banget,Kata Kasar & Ancaman,Berisiko
238,"Training karyawan baru: Senin-Rabu minggu depan, pukul 08.00-16.00 di kantor.",Jadwal & Kegiatan,Tidak Berisiko
239,lo perek,Kata Kasar & Ancaman,Berisiko
240,muka musnahkan lo hancurkan,Kata Kasar & Ancaman,Berisiko
241,Kelas yoga online besok jam 07.00 via Zoom. Link dikirim terpisah.,Informasi Umum,Tidak Berisiko
242,URGENT: Kartu ATM kamu akan diblokir dalam 2 jam. Konfirmasi data di: atm-verif.com,Phishing,Berisiko
243,"Halo, ini kurir Ninja Express. Paket Rp12 COD Anda akan dikirim. Konfirmasi alamat via 08813216543.",Social Engineering,Berisiko
244,mau gue entot ya,Kata Kasar & Ancaman,Berisiko
245,Top up GoPay Rp39.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko
246,Kamu diundang ke acara pernikahan Agus & Fitri pada 15 September 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
247,Tagihan PDAM bulan ini Rp19.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
248,apa-apa lo perek,Kata Kasar & Ancaman,Berisiko
249,Hadiah ulang tahun BTN untuk nasabah setia: Rp44 juta menanti di cutt.ly/cek-saldo.,Phishing,Berisiko
250,Pembayaran premi asuransi Rp22.000 berhasil. Polis Anda aktif hingga 10 Agustus 2024.,Transaksi Aman,Tidak Berisiko
251,Notifikasi: Tagihan kartu kredit BSI bulan ini Rp21.000. Jatuh tempo 5 Desember 2024.,Transaksi Aman,Tidak Berisiko
252,Notifikasi: Tagihan kartu kredit BRI bulan ini Rp44.000. Jatuh tempo 15 September 2024.,Transaksi Aman,Tidak Berisiko
253,Donasi Rp2.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
254,Pengingat: Deadline laporan keuangan Q10 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
255,taik lo tahu gak bacok,Kata Kasar & Ancaman,Berisiko
