id,pesan,kategori,label
30,Kelas online besok dibatalkan karena pembicara sakit. Jadwal baru menyusul.,Jadwal & Kegiatan,Tidak Berisiko
31,Akun BCA Anda akan dinonaktifkan. Update data KYC sekarang di ow.ly/cek-akun sebelum batas waktu.,Phishing,Berisiko
32,Arisan online berhadiah motor. Modal Rp26.000/bulan. Join grup WA 0877-3333-5678.,Penipuan,Berisiko
33,File PDF tagihan BCA bulan ini sudah tersedia. Download di rb.gy/login-secure untuk detail transaksi.,Malware,Berisiko
34,"Pak/Bu, saya dari tim teknis Axis. Ada gangguan jaringan di nomor Anda. Berikan kode OTP untuk perbaikan.",Social Engineering,Berisiko
35,Pengumuman: Jadwal libur nasional bulan depan adalah tanggal 17 Agustus.,Informasi Umum,Tidak Berisiko
36,Notifikasi: Tagihan kartu kredit BNI bulan ini Rp11.000. Jatuh tempo 20 November 2024.,Transaksi Aman,Tidak Berisiko
37,Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 08813216543 untuk proses.,Social Engineering,Berisiko
38,Stok darah golongan O di PMI menipis. Bagi yang mau donor silakan datang.,Informasi Umum,Tidak Berisiko
39,Verifikasi transfer Rp39.000 dari BCA Anda. Kode OTP: 529471. Berlaku 3 menit.,Pencurian Akun,Berisiko
40,Peringatan keamanan BNI: PIN Anda dicoba 3 kali. Amankan akun di s.id/klaim-hadiah segera.,Phishing,Berisiko
41,PR-nya udah selesai belum? Gue masih nyangkut di nomor 3.,Percakapan Biasa,Tidak Berisiko
42,Kode aktivasi ulang akun BCA Anda: 529471. Berlaku 10 menit. Jangan bagikan ke siapapun.,Pencurian Akun,Berisiko
43,Film yang kemarin kamu rekomendasiin bagus banget! Makasih ya.,Percakapan Biasa,Tidak Berisiko
44,Pengingat: Vaksinasi booster tersedia gratis di Puskesmas terdekat bulan ini.,Informasi Umum,Tidak Berisiko
45,"Semangat ya ujiannya! Pasti bisa, udah belajar keras kok.",Percakapan Biasa,Tidak Berisiko
46,Tagihan PDAM bulan ini Rp49.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
47,Ini Tim Lazada. Toko Anda melanggar kebijakan. Hubungi 087712345678 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
48,Transfer berhasil. Rp17.000 telah dikirim ke rekening BRI atas nama Fitri.,Transaksi Aman,Tidak Berisiko
49,PR-nya udah selesai belum? Gue masih nyangkut di nomor 3.,Percakapan Biasa,Tidak Berisiko
50,Ini Tim Shopee. Toko Anda melanggar kebijakan. Hubungi 0812-9999-1234 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
51,Jual akun Tokopedia seller terpercaya rating bintang 5. Harga Rp21.000. WA 08813216543.,Penipuan,Berisiko
52,Sistem Mandiri mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
53,"Info seminar gratis online tentang kewirausahaan, Sabtu pukul 10.00 WIB.",Informasi Umum,Tidak Berisiko
54,Konfirmasi transaksi BCA Rp35 juta ke rekening tidak dikenal. Tolak di rb.gy/update-bri.,Phishing,Berisiko
55,Investasi kripto profit 30% per bulan DIJAMIN. Modal awal Rp28.000. Info: 087712345678.,Penipuan,Berisiko
56,Tagihan PDAM bulan ini Rp30.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
57,Pesanan #ORD-88291 dikonfirmasi. Estimasi pengiriman 2-3 hari kerja ke alamat Anda.,Transaksi Aman,Tidak Berisiko
58,"Halo kak, ini admin marketplace. Ada masalah di pesanan Anda. Tolong hubungi WA 0877-3333-5678 sekarang.",Social Engineering,Berisiko
59,Reminder: SIM Anda berakhir bulan depan. Segera perpanjang di Satpas terdekat.,Informasi Umum,Tidak Berisiko
60,"Gue bakal telat 15 menit. Tolong mulai duluan ya, makasih.",Percakapan Biasa,Tidak Berisiko
61,Selamat! Nomor Anda terpilih program loyalitas Axis. Balas OTP yang dikirim ke CS kami di 085612345678.,Social Engineering,Berisiko
62,Tagihan PDAM bulan ini Rp17.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
63,Jadwal servis AC Anda: 20 November 2024 pukul 10.00-12.00. Teknisi akan menghubungi.,Jadwal & Kegiatan,Tidak Berisiko
64,Stok darah golongan O di PMI menipis. Bagi yang mau donor silakan datang.,Informasi Umum,Tidak Berisiko
65,Pesanan #PO-99281 dikonfirmasi. Estimasi pengiriman 2-3 hari kerja ke alamat Anda.,Transaksi Aman,Tidak Berisiko
66,Tim Lazada: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 087712345678 dalam 24 jam.,Social Engineering,Berisiko
67,Admin marketplace menghubungi Anda terkait komplain pembeli. Respon segera di 087712345678.,Social Engineering,Berisiko
68,LOWONGAN: Admin online kerja dari rumah gaji Rp43 juta/bulan. WA 0822-1111-9999 langsung diterima.,Penipuan,Berisiko
69,Tim keamanan BSI menemukan kebocoran data. Reset password di shorturl.at/hadiah segera.,Phishing,Berisiko
70,Besok jadi berangkat gak? Gue tunggu di stasiun jam 7 ya.,Percakapan Biasa,Tidak Berisiko
71,Jadwal operasional bank selama libur lebaran dapat dicek di website resmi.,Informasi Umum,Tidak Berisiko
72,"Seseorang meminta reset password akun Shopee Anda. Masukkan kode 074152 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
73,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 087712345678.",Penipuan,Berisiko
74,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 0812-9999-1234.",Penipuan,Berisiko
75,"Udah makan belum? Tadi beli nasi padang, enak banget.",Percakapan Biasa,Tidak Berisiko
76,Bukti transfer Rp11 juta dari Danamon. Cek lampiran di bit.do/verifikasi segera.,Malware,Berisiko
77,"Selamat, Anda terpilih sebagai pemenang undian Dana. Konfirmasi ke 085612345678 untuk klaim hadiah.",Social Engineering,Berisiko
78,Cicilan bulan ke-4 dari 12 sebesar Rp15.000 berhasil didebet otomatis.,Transaksi Aman,Tidak Berisiko
79,Anda memenangkan iPhone terbaru! Unduh form klaim di shorturl.at/hadiah dan isi data untuk pengiriman.,Malware,Berisiko
80,Bukti transfer Rp35 juta dari BRI. Cek lampiran di cutt.ly/cek-saldo segera.,Malware,Berisiko
81,E-wallet Anda berhasil diisi Rp45.000 via transfer bank. Saldo: Rp1100.000.,Transaksi Aman,Tidak Berisiko
82,Notifikasi Mandiri: Transaksi Rp38.000 terdeteksi dari lokasi asing. Batalkan di rb.gy/login-secure.,Phishing,Berisiko
83,"Udah makan belum? Tadi beli nasi padang, enak banget.",Percakapan Biasa,Tidak Berisiko
84,Part time online gaji Rp28.000/jam. Kerja 2-3 jam/hari. Daftar di rb.gy/login-secure.,Penipuan,Berisiko
85,Eh ada yang hilang di meja gue. Kamu tau gak?,Percakapan Biasa,Tidak Berisiko
86,Konfirmasi transaksi Permata Rp23 juta ke rekening tidak dikenal. Tolak di rb.gy/login-secure.,Phishing,Berisiko
87,"Gue bakal telat 15 menit. Tolong mulai duluan ya, makasih.",Percakapan Biasa,Tidak Berisiko
88,Akun Bukalapak Anda login dari perangkat baru. Masukkan 294815 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
89,Jual followers Instagram 41K hanya Rp100.000. Permanen dan aktif. WA 087712345678.,Penipuan,Berisiko
90,Pemberitahuan darurat Danamon: Saldo Rp29 juta akan dipotong. Batalkan di t.ly/klaim-now.,Phishing,Berisiko
91,Admin marketplace menghubungi Anda terkait komplain pembeli. Respon segera di 0877-3333-5678.,Social Engineering,Berisiko
92,"Seseorang meminta reset password akun Shopee Anda. Masukkan kode 074152 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
93,Update wajib WhatsApp versi terbaru. Unduh APK resmi di cutt.ly/cek-saldo sebelum akun Anda dinonaktifkan.,Malware,Berisiko
94,Akun BRI Anda akan dinonaktifkan. Update data KYC sekarang di cutt.ly/cek-saldo sebelum batas waktu.,Phishing,Berisiko
95,Top up GoPay Rp28.000 berhasil. Saldo GoPay Anda: Rp1700.000.,Transaksi Aman,Tidak Berisiko
96,Info: BPJS Kesehatan kini bisa dicek saldo dan status aktif via aplikasi JKN.,Informasi Umum,Tidak Berisiko
97,Investasi kripto profit 25% per bulan DIJAMIN. Modal awal Rp37.000. Info: 0812-9999-1234.,Penipuan,Berisiko
98,"Info arisan RT: Pertemuan bulan ini dipindah ke Sabtu, 25 April pukul 19.00.",Informasi Umum,Tidak Berisiko
99,"Info seminar gratis online tentang kewirausahaan, Sabtu pukul 10.00 WIB.",Informasi Umum,Tidak Berisiko
100,Konfirmasi transaksi BRI Rp10 juta ke rekening tidak dikenal. Tolak di bit.ly/verif-akun.,Phishing,Berisiko
101,Tim Blibli: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 082233445566 dalam 24 jam.,Social Engineering,Berisiko
102,Jual followers Instagram 39K hanya Rp1400.000. Permanen dan aktif. WA 0812-9999-1234.,Penipuan,Berisiko
103,Top up GoPay Rp5.000 berhasil. Saldo GoPay Anda: Rp1700.000.,Transaksi Aman,Tidak Berisiko
104,Nanti malam ada acara gak? Kalau ada yuk nonton bareng.,Percakapan Biasa,Tidak Berisiko
105,"Nanti sore ada rapat, jangan lupa ya. Ruang meeting lantai 2.",Percakapan Biasa,Tidak Berisiko
106,"Pasang togel online terpercaya, menang langsung dibayar. Daftar di s.id/klaim-hadiah.",Penipuan,Berisiko
107,Hadiah ulang tahun BSI untuk nasabah setia: Rp24 juta menanti di cutt.ly/cek-saldo.,Phishing,Berisiko
108,Meeting jam berapa tadi? Gue ketinggalan info groupnya.,Percakapan Biasa,Tidak Berisiko
109,Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 082233445566 dalam 24 jam.,Social Engineering,Berisiko
110,Pengingat: Bayar sewa kos bulan ini paling lambat tanggal 5. Terima kasih.,Jadwal & Kegiatan,Tidak Berisiko
111,Top up saldo e-toll Rp17.000 berhasil. Saldo e-toll: Rp100.000.,Transaksi Aman,Tidak Berisiko
112,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 081234567890.",Penipuan,Berisiko
113,Peringatan keamanan BTN: PIN Anda dicoba 3 kali. Amankan akun di s.id/klaim-hadiah segera.,Phishing,Berisiko
114,Donasi Rp16.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
115,Stok darah golongan O di PMI menipis. Bagi yang mau donor silakan datang.,Informasi Umum,Tidak Berisiko
116,Arisan online berhadiah motor. Modal Rp9.000/bulan. Join grup WA 085612345678.,Penipuan,Berisiko
117,Pemberitahuan darurat Permata: Saldo Rp41 juta akan dipotong. Batalkan di ow.ly/cek-akun.,Phishing,Berisiko
118,Akun BSI Anda akan dinonaktifkan. Update data KYC sekarang di bit.do/verifikasi sebelum batas waktu.,Phishing,Berisiko
119,Ujian semester: 5 Desember 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
120,Obat pelangsing herbal turun 48 kg dalam seminggu. Terbukti! Order ke 0812-9999-1234.,Penipuan,Berisiko
121,Event komunitas: Bersepeda bersama Minggu pagi jam 06.00 di taman kota.,Jadwal & Kegiatan,Tidak Berisiko
122,"Udah makan belum? Tadi beli nasi padang, enak banget.",Percakapan Biasa,Tidak Berisiko
123,Cuaca hari ini panas banget ya. Kamu udah pakai sunscreen?,Percakapan Biasa,Tidak Berisiko
124,APK terbaru BTN versi 9.0 sudah rilis. Download di rb.gy/update-bri untuk fitur keamanan lengkap.,Malware,Berisiko
125,Sistem BNI mendeteksi perubahan data. Verifikasi di tinyurl.com/bca-verify dalam 1 jam atau akun dikunci.,Phishing,Berisiko
126,"Seseorang meminta reset password akun Tokopedia Anda. Masukkan kode 963041 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
127,Berita olahraga: Tim nasional menang 3-1 dalam laga persahabatan semalam.,Informasi Umum,Tidak Berisiko
128,"Halo kak, saya dari Ninja Express. Paket Anda tertahan bea cukai. Bayar Rp9.000 ke BRI 1234567890 untuk dilepas.",Social Engineering,Berisiko
129,Pembayaran premi asuransi Rp17.000 berhasil. Polis Anda aktif hingga 1 Oktober 2024.,Transaksi Aman,Tidak Berisiko
130,Pesanan #TX-44812 dikonfirmasi. Estimasi pengiriman 2-3 hari kerja ke alamat Anda.,Transaksi Aman,Tidak Berisiko
131,Akun Permata Anda akan dinonaktifkan. Update data KYC sekarang di rb.gy/update-bri sebelum batas waktu.,Phishing,Berisiko
132,Pulangnya bareng gak? Sekalian mampir beli makan malam.,Percakapan Biasa,Tidak Berisiko
133,Pengingat: Deadline laporan keuangan Q8 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
134,Pengingat: Vaksinasi booster tersedia gratis di Puskesmas terdekat bulan ini.,Informasi Umum,Tidak Berisiko
135,"Wah, macet banget hari ini. Kamu naik apa ke kantor?",Percakapan Biasa,Tidak Berisiko
136,PROMO: Tiket pesawat Balikpapan-Jakarta Rp24.000 PP. Booking sekarang di bit.ly/verif-akun sebelum habis.,Penipuan,Berisiko
137,"Bentar lagi sampai. Lagi di jalan, macet dikit.",Percakapan Biasa,Tidak Berisiko
138,Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 087712345678 dalam 24 jam.,Social Engineering,Berisiko
139,Selamat! Nomor Anda terpilih program loyalitas Axis. Balas OTP yang dikirim ke CS kami di 0877-3333-5678.,Social Engineering,Berisiko
140,Selamat! Wawancara kerja Anda dijadwalkan 5 Desember 2024 pukul 10.00 di kantor pusat.,Jadwal & Kegiatan,Tidak Berisiko
141,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 0877-3333-5678.",Penipuan,Berisiko
142,"Bisnis MLM legal profit 15% per bulan. Join sekarang, daftar ke 087712345678 modal Rp15.000.",Penipuan,Berisiko
143,Akun Lazada Anda login dari perangkat baru. Masukkan 963041 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
144,Jual rumah subsidi DP 0% di Medan. Harga Rp39 juta all-in. Hubungi 087712345678 sekarang.,Penipuan,Berisiko
145,Pengingat: Vaksinasi booster tersedia gratis di Puskesmas terdekat bulan ini.,Informasi Umum,Tidak Berisiko
146,"Bentar lagi sampai. Lagi di jalan, macet dikit.",Percakapan Biasa,Tidak Berisiko
147,Hadiah ulang tahun BTN untuk nasabah setia: Rp44 juta menanti di cutt.ly/cek-saldo.,Phishing,Berisiko
148,Pesanan #TRX2024001 dikonfirmasi. Estimasi pengiriman 2-3 hari kerja ke alamat Anda.,Transaksi Aman,Tidak Berisiko
149,Reminder: Pembayaran SPP bulan ini paling lambat tanggal 10.,Informasi Umum,Tidak Berisiko
150,Akun Danamon Anda terdeteksi aktivitas mencurigakan. Verifikasi segera di rb.gy/update-bri atau akun diblokir 24 jam.,Phishing,Berisiko
151,Pengumuman: Listrik padam bergilir Selasa pukul 08.00-12.00 di wilayah Palembang.,Informasi Umum,Tidak Berisiko
152,Survey online bayar Rp4.000 per jawaban. Daftar gratis di shorturl.at/hadiah.,Penipuan,Berisiko
153,"Seseorang meminta reset password akun Traveloka Anda. Masukkan kode 529471 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
154,Info: Kantor tutup hari Senin karena perawatan sistem. Harap maklum.,Informasi Umum,Tidak Berisiko
155,"Gue bakal telat 15 menit. Tolong mulai duluan ya, makasih.",Percakapan Biasa,Tidak Berisiko
156,E-banking CIMB Anda terindikasi diretas. Amankan sekarang di ow.ly/cek-akun sebelum terlambat.,Phishing,Berisiko
157,"Pak/Bu, saya dari tim teknis Indosat. Ada gangguan jaringan di nomor Anda. Berikan kode OTP untuk perbaikan.",Social Engineering,Berisiko
158,Pengingat: Bayar sewa kos bulan ini paling lambat tanggal 5. Terima kasih.,Jadwal & Kegiatan,Tidak Berisiko
159,Game terbaru sudah tersedia! Unduh APK di cutt.ly/cek-saldo dan dapatkan diamond gratis unlimited.,Malware,Berisiko
160,Obat pelangsing herbal turun 37 kg dalam seminggu. Terbukti! Order ke 081234567890.,Penipuan,Berisiko
161,Arisan online berhadiah motor. Modal Rp7.000/bulan. Join grup WA 0812-9999-1234.,Penipuan,Berisiko
162,Unduh aplikasi penghasil uang resmi Dana. Klik t.ly/klaim-now dan hasilkan Rp8.000 per hari dari HP.,Malware,Berisiko
163,Pengumuman: Listrik padam bergilir Selasa pukul 08.00-12.00 di wilayah Jakarta.,Informasi Umum,Tidak Berisiko
164,Notif Telkomsel: Kuota Anda habis. Isi ulang gratis dengan forward pesan ini ke 10 kontak.,Social Engineering,Berisiko
165,Notifikasi CIMB: Transaksi Rp31.000 terdeteksi dari lokasi asing. Batalkan di bit.do/verifikasi.,Phishing,Berisiko
166,Unduh aplikasi Shopee mod premium gratis. Nikmati semua fitur tanpa bayar di rb.gy/update-bri.,Malware,Berisiko
167,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp7 juta ke BCA 0987654321 untuk biaya darurat.",Social Engineering,Berisiko
168,Reset PIN BNI diminta. Kode keamanan Anda: 852947. Jangan berikan kepada siapapun.,Pencurian Akun,Berisiko
169,"Udah makan belum? Tadi beli nasi padang, enak banget.",Percakapan Biasa,Tidak Berisiko
170,Jadwal servis AC Anda: 5 Desember 2024 pukul 10.00-12.00. Teknisi akan menghubungi.,Jadwal & Kegiatan,Tidak Berisiko
171,PR-nya udah selesai belum? Gue masih nyangkut di nomor 3.,Percakapan Biasa,Tidak Berisiko
172,Game terbaru sudah tersedia! Unduh APK di tinyurl.com/bca-verify dan dapatkan diamond gratis unlimited.,Malware,Berisiko
173,"Webinar besok: Topik machine learning untuk pemula, pukul 19.00 via Zoom.",Jadwal & Kegiatan,Tidak Berisiko
174,Notif Tri: Kuota Anda habis. Isi ulang gratis dengan forward pesan ini ke 10 kontak.,Social Engineering,Berisiko
175,PROMO: Tiket pesawat Jakarta-Jakarta Rp21.000 PP. Booking sekarang di shorturl.at/hadiah sebelum habis.,Penipuan,Berisiko
176,"Seseorang meminta reset password akun Dana Anda. Masukkan kode 741836 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
177,Part time online gaji Rp6.000/jam. Kerja 2-3 jam/hari. Daftar di shorturl.at/hadiah.,Penipuan,Berisiko
178,Selamat! Kartu kredit Permata Anda memenangkan cashback Rp32 juta. Klik bit.ly/verif-akun untuk klaim.,Phishing,Berisiko
179,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp18 juta ke Mandiri 1111222333 untuk biaya darurat.",Social Engineering,Berisiko
180,"Seseorang meminta reset password akun Bukalapak Anda. Masukkan kode 741836 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
181,Pengumuman: Jadwal libur nasional bulan depan adalah tanggal 17 Agustus.,Informasi Umum,Tidak Berisiko
182,"Pak/Bu, saya dari tim teknis Smartfren. Ada gangguan jaringan di nomor Anda. Berikan kode OTP untuk perbaikan.",Social Engineering,Berisiko
183,CIMB resmi: Anda mendapat reward Rp31 juta. Tukarkan di rb.gy/login-secure sebelum hangus.,Phishing,Berisiko
184,Jadwal servis AC Anda: 10 Agustus 2024 pukul 10.00-12.00. Teknisi akan menghubungi.,Jadwal & Kegiatan,Tidak Berisiko
185,Kode aktivasi ulang akun BRI Anda: 741836. Berlaku 10 menit. Jangan bagikan ke siapapun.,Pencurian Akun,Berisiko
186,LOWONGAN: Admin online kerja dari rumah gaji Rp44 juta/bulan. WA 0812-9999-1234 langsung diterima.,Penipuan,Berisiko
187,"Halo kak, saya dari SiCepat. Paket Anda tertahan bea cukai. Bayar Rp37.000 ke Mandiri 1111222333 untuk dilepas.",Social Engineering,Berisiko
188,Pesanan #TX-44812 dikonfirmasi. Estimasi pengiriman 2-3 hari kerja ke alamat Anda.,Transaksi Aman,Tidak Berisiko
189,"Pasang togel online terpercaya, menang langsung dibayar. Daftar di shorturl.at/hadiah.",Penipuan,Berisiko
190,Joki tugas/skripsi profesional harga terjangkau. Nilai A dijamin. Hubungi 08813216543.,Penipuan,Berisiko
191,Besok jadi berangkat gak? Gue tunggu di stasiun jam 7 ya.,Percakapan Biasa,Tidak Berisiko
192,"Semangat ya ujiannya! Pasti bisa, udah belajar keras kok.",Percakapan Biasa,Tidak Berisiko
193,Reminder: SIM Anda berakhir bulan depan. Segera perpanjang di Satpas terdekat.,Informasi Umum,Tidak Berisiko
194,Pulangnya bareng gak? Sekalian mampir beli makan malam.,Percakapan Biasa,Tidak Berisiko
195,Jadwal posyandu bulan ini: setiap Rabu pukul 09.00 di balai warga RW 05.,Informasi Umum,Tidak Berisiko
196,Saldo tabungan Danamon Anda: Rp41 juta. Per tanggal 15 September 2024.,Transaksi Aman,Tidak Berisiko
197,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp46 juta ke BCA 0987654321 untuk biaya darurat.",Social Engineering,Berisiko
198,Pemberitahuan darurat Permata: Saldo Rp4 juta akan dipotong. Batalkan di ow.ly/cek-akun.,Phishing,Berisiko
199,"Semangat ya ujiannya! Pasti bisa, udah belajar keras kok.",Percakapan Biasa,Tidak Berisiko
200,Login baru terdeteksi di akun Blibli Anda dari Jakarta. Masukkan kode verifikasi 852947 untuk amankan.,Pencurian Akun,Berisiko
201,Login baru terdeteksi di akun Dana Anda dari Palembang. Masukkan kode verifikasi 376429 untuk amankan.,Pencurian Akun,Berisiko
202,Unduh aplikasi Blibli mod premium gratis. Nikmati semua fitur tanpa bayar di shorturl.at/hadiah.,Malware,Berisiko
203,"Selamat, Anda terpilih sebagai pemenang undian Lazada. Konfirmasi ke 0812-9999-1234 untuk klaim hadiah.",Social Engineering,Berisiko
204,Kamu lagi sibuk gak? Mau nanya sesuatu boleh?,Percakapan Biasa,Tidak Berisiko
205,Berita olahraga: Tim nasional menang 3-1 dalam laga persahabatan semalam.,Informasi Umum,Tidak Berisiko
206,Bukti transfer Rp38 juta dari BCA. Cek lampiran di shorturl.at/hadiah segera.,Malware,Berisiko
207,Game terbaru sudah tersedia! Unduh APK di bit.ly/verif-akun dan dapatkan diamond gratis unlimited.,Malware,Berisiko
208,Tim Blibli: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 0877-3333-5678 dalam 24 jam.,Social Engineering,Berisiko
209,Eh ada yang hilang di meja gue. Kamu tau gak?,Percakapan Biasa,Tidak Berisiko
210,E-banking CIMB Anda terindikasi diretas. Amankan sekarang di ow.ly/cek-akun sebelum terlambat.,Phishing,Berisiko
211,"Udah makan belum? Tadi beli nasi padang, enak banget.",Percakapan Biasa,Tidak Berisiko
212,Peringatan keamanan Permata: PIN Anda dicoba 3 kali. Amankan akun di bit.do/verifikasi segera.,Phishing,Berisiko
213,Notifikasi: Tagihan kartu kredit BNI bulan ini Rp38.000. Jatuh tempo 10 Agustus 2024.,Transaksi Aman,Tidak Berisiko
214,"Halo, saya Mas Dedi dari Mandiri. Kartu Anda akan diblokir. Berikan 16 digit nomor kartu untuk verifikasi.",Social Engineering,Berisiko
215,"Wah, macet banget hari ini. Kamu naik apa ke kantor?",Percakapan Biasa,Tidak Berisiko
216,"Halo kak, ini admin marketplace. Ada masalah di pesanan Anda. Tolong hubungi WA 0812-9999-1234 sekarang.",Social Engineering,Berisiko
217,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 087712345678.",Penipuan,Berisiko
218,Eh ada yang hilang di meja gue. Kamu tau gak?,Percakapan Biasa,Tidak Berisiko
219,Sistem Permata mendeteksi perubahan data. Verifikasi di shorturl.at/hadiah dalam 1 jam atau akun dikunci.,Phishing,Berisiko
220,PR-nya udah selesai belum? Gue masih nyangkut di nomor 3.,Percakapan Biasa,Tidak Berisiko
221,Permintaan penarikan Rp7 juta dari dompet Tokopedia Anda. Konfirmasi dengan OTP: 376429.,Pencurian Akun,Berisiko
