id,pesan,kategori,label
40,"GK bisa maafin stok asi ku terbuang,aku dapetin asi itu susah payah 😭",Percakapan Biasa,Tidak Berisiko
41,"woiii sampai sekarang masih mati lampu...medan kota dan medan area masih banyak lagi....tempat boby udah hidup lampu,kenapa beda2",Percakapan Biasa,Tidak Berisiko
42,dari jam 18.44 sampe 11.54 g1la kali yaaa,Jadwal & Kegiatan,Tidak Berisiko
43,DI BINJAI UTARA DARI JAM 18.45 SAMPAI DETIK INI BELOM IDOP LAMPU,Jadwal & Kegiatan,Tidak Berisiko
44,[Stiker] kan ak jd gak sllepcall,Percakapan Biasa,Tidak Berisiko
45,Kami belom hidup sama sekali😭,Percakapan Biasa,Tidak Berisiko
46,kalau telat bayar masyarakat apa bisa minta maaf juga?,Transaksi Aman,Tidak Berisiko
47,BARU IDUPP DI SUMUT😭,Percakapan Biasa,Tidak Berisiko
48,gilak dari jam6 sore baru hidup jm 2 mlm😳,Jadwal & Kegiatan,Tidak Berisiko
49,"Paaaaaak ini mati lampu lagi , brapa jam lagi ini pak😭😭",Percakapan Biasa,Tidak Berisiko
50,"[Stiker] pak lampu mati wifi ku juga mati
ndk mau maapin 😭,tadi malam mati ini pagi mati lagi sampai sekarang belum hidup
pie to pak😭😭😭",Percakapan Biasa,Tidak Berisiko
51,"besok bayar listrik pakek kata maaf bisa jugaa ya pak
biar adil",Transaksi Aman,Tidak Berisiko
52,[Stiker] IDUPIN OY COWOKU NDK BISO KSI KABAR AKU NI LDR,Percakapan Biasa,Tidak Berisiko
53,Klw kita yng rugi siapa yng ganti ya😜😜😜😜,Percakapan Biasa,Tidak Berisiko
54,apaan sekarang mati lampu lgi,Percakapan Biasa,Tidak Berisiko
55,anak wifi apakabar?,Percakapan Biasa,Tidak Berisiko
56,"ah gampang banget mintk maaf nya giliran bayr telat langsung dpat surat pemutusan
ngk adil banget pak",Percakapan Biasa,Tidak Berisiko
57,mati lampu lagi woyy😭,Percakapan Biasa,Tidak Berisiko
58,"Cuma minta maaf doang ? begtu aja pola nya, buat salah - klarifikasi - minta maaf= Selesai",Percakapan Biasa,Tidak Berisiko
59,weh sampe skrg belum hidup listrik di medan 😭,Informasi Umum,Tidak Berisiko
60,"minta maaf be, jualan es kmi cair galo.. berpikir pak.. apo gnti ruginyo",Percakapan Biasa,Tidak Berisiko
61,"sering sering aja pak,, soalnya dengan kejadian semalam saya baru merasakan arti sebuah keluarga dan persahabatan, karena begitu mati lampu kami duduk kumpul dan nyalain api unggun sambil ngobrol hingga tengah malam,, tdk ada yg megang HP karena tak ada baterai😂😂😂😂😂",Percakapan Biasa,Tidak Berisiko
62,"ganti duit guaa 58K PLN.
gara gara mati lampu gua nge cas di cafe",Informasi Umum,Tidak Berisiko
63,"2024 mati lampu se lampung
2026 mati lampu se sumatra anjayyy😭",Percakapan Biasa,Tidak Berisiko
64,tapi sampe skrng belum nyaala bujangg,Percakapan Biasa,Tidak Berisiko
65,dari jam 7 malam sampe jam 12 siang baru hidup njir😭,Jadwal & Kegiatan,Tidak Berisiko
66,"gak mau ah, telat bayar 1 hari aja langsung di putusin.",Transaksi Aman,Tidak Berisiko
67,"Kalau Pelanggan :
1.Terlambat Membayar
2.Tidakbisa Membayar
Apa Bisa Diselesaikan Dengan Minta Maaf??
Harus Ada Kompensasi Dari Kejadian Ini!
#Dirutplnmundur",Percakapan Biasa,Tidak Berisiko
68,"Ada gangguan cukup minta maaf, disisi lain jika pelanggan telat bayar, didenda atau putus listrik,,,, Piye to kiiii???",Transaksi Aman,Tidak Berisiko
69,Udahlah mati lampu sinyal pun ga ada😭,Percakapan Biasa,Tidak Berisiko
70,jangan kan tadi malam sekarang aja dah mati lampu ini makan pakai senter,Percakapan Biasa,Tidak Berisiko
71,"silahkan, mengundurkan diri",Percakapan Biasa,Tidak Berisiko
72,"gamau maafin, aku gabisa hidup tanpa kipas dan wifi",Percakapan Biasa,Tidak Berisiko
73,"di riau mulai mati lampu habis magrib hidup lagi jam 9 malam, terus mati lampu lagi mulai dari jam 11 malam, dannn baru hidup lagi jam 15.30 , lebih dari 12 jam mati lampu😳",Jadwal & Kegiatan,Tidak Berisiko
74,Minimal kalau ada KENDALA. KASIH ABA-ABA DULU LAH,Percakapan Biasa,Tidak Berisiko
75,gw di lampung dri jam 18.45 sampe jam 23.56 baru idup sat..😡,Jadwal & Kegiatan,Tidak Berisiko
76,Cpt oi gak mandi ak smpe skrng,Percakapan Biasa,Tidak Berisiko
77,literally 24 jam lebih jir baru idup sekarang,Percakapan Biasa,Tidak Berisiko
78,ini mati lagi lampu nya,Percakapan Biasa,Tidak Berisiko
79,"gak dimaapin, gw berak aja harus belik air galon isi ulang😭😭",Percakapan Biasa,Tidak Berisiko
80,"mati lampu lagi woii, gelap bgt",Percakapan Biasa,Tidak Berisiko
81,"CUMA MINTA MAAF??
Cair kulkas es krim ku pakk😭😭",Percakapan Biasa,Tidak Berisiko
82,iyaaaa anehnya jalanan tadi malam padet bgt truk2 besar macet loh depan rumah ku. truk apaan itu tumben bgt bisa sampe macet bgt malam 1-4 pagi.,Percakapan Biasa,Tidak Berisiko
83,Lampung GK sebut pdhl di Lampung mati lampu juga,Percakapan Biasa,Tidak Berisiko
84,Kasih lah token gratis dulu pak satu bulan,Percakapan Biasa,Tidak Berisiko
85,"Woy cepatlah hidup, ac ku mati , pekanbaru mana kuat ini, panas di sini",Percakapan Biasa,Tidak Berisiko
86,info di tempat siapa yg belum nyala listrik nya?,Informasi Umum,Tidak Berisiko
87,woi ni kok mati lagi lampunya,Percakapan Biasa,Tidak Berisiko
88,"mati lampu dari jam 7 malam sampe jam 6 pagiii,gabisaaa tidurrr,apalagi pekanbaru panassssssssssss jalanan penuhhhh dimana manaaaaa",Jadwal & Kegiatan,Tidak Berisiko
89,udah 24 jam medan mati lampu,Percakapan Biasa,Tidak Berisiko
90,minimal aba' bosss,Percakapan Biasa,Tidak Berisiko
91,kami macharakat gakpernah ngutang.kenapa lampu mati,Percakapan Biasa,Tidak Berisiko
92,ini masih mati lampu oyy🗿,Percakapan Biasa,Tidak Berisiko
93,"ini listrik baru hidup, pertanyaan sekarang apakah ada mati lampu susulan?takutnya tiba-tiba mati lampu lagi🙏",Informasi Umum,Tidak Berisiko
94,woi masih mati lampu sampe sekarang gila,Percakapan Biasa,Tidak Berisiko
95,masih mending jam11 ditempat kami jam satu malam baru idup,Jadwal & Kegiatan,Tidak Berisiko
96,HII GUYS BARU ADA JARINGAN NJIR😭,Percakapan Biasa,Tidak Berisiko
97,jam 7 malem sampe 7 pagi baru nyala .. hebattttt😂,Jadwal & Kegiatan,Tidak Berisiko
98,"harusnya PLN ganti rugi donk.
rakyat bayar telat bayar denda",Transaksi Aman,Tidak Berisiko
99,"saya semalem mau berak gak ada aer pak,
sampe pusing kepala saya nahannya.",Percakapan Biasa,Tidak Berisiko
100,Caiir cairr,Percakapan Biasa,Tidak Berisiko
101,PLN ...P nya apa,Informasi Umum,Tidak Berisiko
102,berapa ton ini yang masuk sama keluar wkwk,Percakapan Biasa,Tidak Berisiko
103,Kira kira berapa Ton yang masuk ???,Percakapan Biasa,Tidak Berisiko
104,"jangan di ulangi lagi ya lek ..
ngelek2 saya main Mobile legends jadinya🗿",Percakapan Biasa,Tidak Berisiko
105,"kenapa cepat sekali d hidup kan woooy
gued sudah beli gemset",Percakapan Biasa,Tidak Berisiko
106,kampas dan tempo sama kan😂,Percakapan Biasa,Tidak Berisiko
107,intinya aja pak berapa ton?🥰,Percakapan Biasa,Tidak Berisiko
108,"benerin kulkas ku ini pak.... rusak gara"" mati lampu mendadak... iihhh emosi aku.. elektronik pada konslet",Percakapan Biasa,Tidak Berisiko
109,itu banyak orang dibelakang bapa lg pada ngapain ?,Percakapan Biasa,Tidak Berisiko
110,terlalu bertele tele ngomonya tuan...,Percakapan Biasa,Tidak Berisiko
111,hidupkan lah lampu ini batrai hp gua tinggal 10%,Percakapan Biasa,Tidak Berisiko
112,paling gampang ya mintak maaf si memang,Percakapan Biasa,Tidak Berisiko
113,mati lampu sehari semalam berasa kaya zaman batu anjir😂😂😂😂,Kata Kasar & Ancaman,Berisiko
114,enk aja minta maaf,Percakapan Biasa,Tidak Berisiko
115,"pura2 percaya aja dech ,,,biar dia senang",Percakapan Biasa,Tidak Berisiko
116,dari malam jam 7 sampai besok malam jam 8,Jadwal & Kegiatan,Tidak Berisiko
117,"Mnt maaf juga pak , bulan depan telat bayar tagihannya",Transaksi Aman,Tidak Berisiko
118,Disni dari jam 7 malam sampai jam 2 siang woi😭😭,Jadwal & Kegiatan,Tidak Berisiko
119,kompensasinyaaa..tlg kami diberi genset ..12 jam loh kami berpanas2an pakk ..digigit nyamukkk,Percakapan Biasa,Tidak Berisiko
120,lahh sekarang malah mati lampu lagii wehh di jambi😭😭,Percakapan Biasa,Tidak Berisiko
121,"Singkat saja, Kmaren yg ktangkap berapa KG ? trus yg masuk brp Ton ?",Percakapan Biasa,Tidak Berisiko
122,"[Stiker] tolong lah bos panas x medan ini uda
idup kan lah lampoooooo",Percakapan Biasa,Tidak Berisiko
123,"Malam ini infonya mati lampu lanjut lagi sampe tgl 25,benar kah itu?",Percakapan Biasa,Tidak Berisiko
124,"sepanjang sejarah ,mati lampu terlamaa 😂😂",Percakapan Biasa,Tidak Berisiko
125,"G DIMAAFIN. AKU UDAH NANGIS KARNA GABISA CALL SAMA COWOKUU YANG ADA DI SUMATERA. BADMOOD, MANA LAGI MENS. 😔😭",Percakapan Biasa,Tidak Berisiko
126,bayar GK bisa terlambat tapi pelayanan nya amsiong,Transaksi Aman,Tidak Berisiko
127,jgn hanya minta maaf pak dirut keluarkan kompensasi kami umkm malam nggak bisa usaha,Percakapan Biasa,Tidak Berisiko
128,Kami di sumatera utara khususnya TJ mulia medan deli dari tadi malam sampai malam ini belum nyala sama sekali.. ini bagaimana?,Percakapan Biasa,Tidak Berisiko
129,kalau telat bayar boleh minta maaf,Transaksi Aman,Tidak Berisiko
130,gara”mati lampu aku jadi keluar malem muter”carii angin😭,Percakapan Biasa,Tidak Berisiko
131,"ga mau maafin, saya kepanasan pak, ga bisa tudurr😭",Percakapan Biasa,Tidak Berisiko
132,"kasi kompensasi lah 11 jam loh padamnya, stress parah gak ngapa ngapain jaringan internet juga gak bisa",Percakapan Biasa,Tidak Berisiko
133,dijambi jam 7 pagi baru hidup bayang kan 12 jam kipasin anak pakai buku sampai tangan mau potel 😭😭😭😭😭,Jadwal & Kegiatan,Tidak Berisiko
134,"perlu dipertanyakan kenapa di koneksi listrik seluruh Sumatra dibuat sutet seluruh Sumatra, imbasnya kalau ada masalah semua Sumatra jadi berdampak. dan untuk buat sutet itu biayanya besar sehingga dibebani penguna.",Informasi Umum,Tidak Berisiko
135,tega banget padam dari jam 8 malam sampai jam 8 pagi... pak 😭😭,Jadwal & Kegiatan,Tidak Berisiko
136,cie kan ada yg klarifikasi 🤣🤣🤣,Percakapan Biasa,Tidak Berisiko
137,coba tebak kerugian yang terjadi indomaret tutup apalagi yg jual es,Percakapan Biasa,Tidak Berisiko
138,izin.. maaf aja TDK cukup.. gratis Kam PLN 2 bln,Informasi Umum,Tidak Berisiko
139,"gak mau maafin, Sampek sekarang lampu nya blm hidup juga 😭😭😭😭",Percakapan Biasa,Tidak Berisiko
140,gara gara mati lampu tadi malam gue tidur di teras rumah,Percakapan Biasa,Tidak Berisiko
141,SEBUT SAJA LOLOS BRP TON?,Percakapan Biasa,Tidak Berisiko
142,"ayo berdoa aja semoga listrik bisa cepat pulih.. logikanya PLN penyedia listrik, mereka jual listrik ya klu padam mereka merugi.. klu padam meteran kita jg mati, yg kita bayar yg hidup doang kok..
PLN jg bilang ini karena cuaca, klu kondisi alam siapa yg tau. gak mungkin kita mau nyalahin Tuhan ngasih cuaca buruk kan..
ayo berdoa semoga listrik di sumatera pulih semua 🙏🏻🥲",Transaksi Aman,Tidak Berisiko
143,"intinya aja lah om, kapan hidup lampu nya",Percakapan Biasa,Tidak Berisiko
144,Sampe detik ini kami masih lampu🥲,Percakapan Biasa,Tidak Berisiko
145,GK mikirin perasaan anak wifi😭,Percakapan Biasa,Tidak Berisiko
146,suka kau aja la,Percakapan Biasa,Tidak Berisiko
147,"𝙠𝙞𝙩𝙖 𝙩𝙚𝙧𝙡𝙖𝙡𝙪 𝙩𝙚𝙧𝙖𝙣𝙜
𝙝𝙞𝙣𝙜𝙜𝙖 𝙋𝙇𝙉 𝙨𝙚𝙣𝙙𝙞𝙧𝙞 𝙮𝙖𝙣𝙜 𝙢𝙚𝙢𝙖𝙙𝙖𝙢𝙠𝙖𝙣 𝙣𝙮𝙖
𝙛𝙧𝙤𝙢:𝙨𝙪𝙢𝙪𝙩",Percakapan Biasa,Tidak Berisiko
148,maaf yg gk bertanggung jawab,Percakapan Biasa,Tidak Berisiko
149,Kenapa harus di Sumbar aja.......,Percakapan Biasa,Tidak Berisiko
150,kompensasi nya mana bos,Percakapan Biasa,Tidak Berisiko
151,plg ga..dy minta maaf....ga kayak..yg lain...,Percakapan Biasa,Tidak Berisiko
152,Saya juga minta maaf pak ya... Kl bulan depan telat bayar. Karena adanya gangguan pemasukan mendekati hari raya idul adha.,Transaksi Aman,Tidak Berisiko
153,mundur ege,Percakapan Biasa,Tidak Berisiko
154,moaf maaf enak saja,Percakapan Biasa,Tidak Berisiko
155,percaya???,Percakapan Biasa,Tidak Berisiko
156,"pak , tlg lah jgn mati lampu lagi soalnya kami jualan es krim, eskrim kami meleleh dan GK bisa dijual kami rugi pak jadi mau mintak pertanggung jawaban sama siapa pak,sementara kami cuma pedagang kecil jadi tlg pak jgn mati lampu lagi🙏🏻🙏🏻🙏🏻😭😭😭😭",Percakapan Biasa,Tidak Berisiko
157,mati lampu lagi anjayy😭😭😭,Percakapan Biasa,Tidak Berisiko
158,"Kami helvet dari 18,40 sampek jam 12 tadi baru hidup🙂",Jadwal & Kegiatan,Tidak Berisiko
159,"gamau, aku gabisa tdr sampe pagi. males",Percakapan Biasa,Tidak Berisiko
160,telkomsel aja kebakaran dulu 1 Sumatera gangguan dikasih kompensasi berupa kouta internet. PLN apa ni kompensasi nya?,Informasi Umum,Tidak Berisiko
161,GARA GARA MATI LAMPU GAKBISA SLEEPCALL SAMA BRONDONGKU 🥺,Percakapan Biasa,Tidak Berisiko
162,"maaf pak kita gak bisa bayar listrik gimna pak,",Transaksi Aman,Tidak Berisiko
163,"gara""pln ini aku ga bisa slep call sama syngku",Informasi Umum,Tidak Berisiko
164,Mati jam 7 malam hidup jam 8 pagii 😩😩,Jadwal & Kegiatan,Tidak Berisiko
165,kalau ada kesalahan begini pasti banyak yg hujat PLN.. apapun PLN sampai tetap d mata masyarakat salah.. sabar ya PLN manusia emang gitu lihat kesalahan kita kita akan d tekan trus.. mereka GK sadar selama ini PLN selalu memberikan terbaik buat masyarakat,Informasi Umum,Tidak Berisiko
166,kami belum hidup listrik sampai sekarang... Tebing Tinggi di jalan siantar,Informasi Umum,Tidak Berisiko
167,"[Stiker] Hay kami ga di minta maaf in ni kah
Sumatra Selatan woy sakit my heart 💔😭",Percakapan Biasa,Tidak Berisiko
168,terlalu baik di negara ini cuman permohonan maaf doank,Percakapan Biasa,Tidak Berisiko
169,[Stiker] ini ada part 2 nya gak?,Percakapan Biasa,Tidak Berisiko
170,dari jam 7 malam sampe jam 10 pagi baru idup 🥱🥱,Jadwal & Kegiatan,Tidak Berisiko
171,Hari2 maaf hari2 maaf tapi kinerja tak pernah jelas,Percakapan Biasa,Tidak Berisiko
172,kapan idup nyaa plss 😭,Percakapan Biasa,Tidak Berisiko
173,"dh mati lampu gda air pula, klo bntr gpp ini lama amat",Kata Kasar & Ancaman,Berisiko
174,nggak pp pak mati. demi perlistrikan aman .tp alangkah baiknya di kasih tau dulu. malalui kantor daerah masing ..jd pelanggan bs antisipasi ..apa lg sumatra lg full panas nya ..,Percakapan Biasa,Tidak Berisiko
175,hidup kn la masak lama x Sampek skrg,Percakapan Biasa,Tidak Berisiko
176,"buat yang daerah padam ini namanya hidup tv ya
siapa tau dsna ga bisa nyalain tv",Percakapan Biasa,Tidak Berisiko
177,"harus ada kompensasi nya donk
jangan hanya MAAF
jika kami telat bayar listrik apa bisa selesai dengan MAAF",Transaksi Aman,Tidak Berisiko
178,pln harus bertanggung jawab dengan kerugian yg kami alami.,Informasi Umum,Tidak Berisiko
179,kalo udh gini mnta maaf tapi telat bayar sdikit langsung di putus,Transaksi Aman,Tidak Berisiko
180,tempat ku mati lagi ini pak.. rusak la roti ku ini,Percakapan Biasa,Tidak Berisiko
181,singkat saja brp ton masuk?,Percakapan Biasa,Tidak Berisiko
182,[Stiker] singkat saja berapa ton yang lewat selama mati lampu,Percakapan Biasa,Tidak Berisiko
183,"dimulai dari 18:35 - 03:37
kerugian saya total 999.000.010",Percakapan Biasa,Tidak Berisiko
184,"pantes hp gw panas,ternyata ada matahari cuy jirr lah🗿🫪",Percakapan Biasa,Tidak Berisiko
185,"singkat padat jelas aja, brapa ton yg lolos? brpa jt?",Percakapan Biasa,Tidak Berisiko
186,"intinya aja,berapa ton masuk/keluar?",Percakapan Biasa,Tidak Berisiko
187,Yang lampu nya baru hidupp like,Percakapan Biasa,Tidak Berisiko
188,amann barangg ituu kan lekk? berapa ton masuk kemarin sama nanti malam?,Percakapan Biasa,Tidak Berisiko
189,"gamau maafin
16 jam mati lampu
14 jam ga ada sinyal
ngambek!!",Percakapan Biasa,Tidak Berisiko
190,"kalau padam, bilangnya maaf. kalo telat bayar listrik, di putus😅",Transaksi Aman,Tidak Berisiko
191,"Gak mau maafin, asi ku yang di chiller jadi basi semua 😭 masak matinya dari jam 7 malam dan baru idup jam 11 siang ini.",Jadwal & Kegiatan,Tidak Berisiko
192,di setiap pelabuhan mati lampu d situ barang masuk ton ton,Percakapan Biasa,Tidak Berisiko
193,kira kira berapa hari ini siapnyaaa bertanya dengan nada lembut,Percakapan Biasa,Tidak Berisiko
194,"beneran atau mau berhemat pak,(serius nnya dengan nada lembut)",Percakapan Biasa,Tidak Berisiko
195,pak kami mati lampu dari jam 6 sore sampai jam 7 pagi😭,Jadwal & Kegiatan,Tidak Berisiko
196,gantiiiiii rugi oiiii,Percakapan Biasa,Tidak Berisiko
197,"jgn curang pak PLN,",Informasi Umum,Tidak Berisiko
198,"GK bisa aku maaf kan, karena tadi MLM aku GK bisa vidio call sama cowok ku, jangan kan vc, cht aja GK bisa😭",Percakapan Biasa,Tidak Berisiko
199,"menit semuaa , baru ada sinyal kali Yakk😭",Percakapan Biasa,Tidak Berisiko
200,"maaf.. maaf.. maaf terus.. lalu gimana pelanggan yg mengalami kerugian ataupun kerusakan yg di derita oleh pelanggan karena matinya aliran listrik, harus nya PLN mengganti kerugian yg timbul.",Informasi Umum,Tidak Berisiko
201,inti nya aj brp ton pak?,Percakapan Biasa,Tidak Berisiko
202,"maaf Pak aku gak bisa kasih maaf, masalahnya kalau kita telat bayar listrik kita mau diputus, tapi kalau PLN ada gangguan cuma minta maaf, berarti kalau kita telat bayar apa bisa kita bayar dgn maaf blm bisa bayar",Transaksi Aman,Tidak Berisiko
203,"singkat saja, berapa ton yg berhasil lewat?",Percakapan Biasa,Tidak Berisiko
204,singkat sajah berapa ton yng masuk?,Percakapan Biasa,Tidak Berisiko
205,berapa ton yg masuk?,Percakapan Biasa,Tidak Berisiko
206,ini mati lampu lagi nih hari ini?,Percakapan Biasa,Tidak Berisiko
207,"ini brg msuk apa kluar pak,brpa ton kira""lewat?",Percakapan Biasa,Tidak Berisiko
208,apa cuman aku aja yang kepikiran dari gejala mati lampu ini seperti ada gajah dibalik batu???,Kata Kasar & Ancaman,Berisiko
209,"pak , daerah tj slamat ,flamboyan raya dri jam 19.00 tdi malam sampe sy ngetik ini belom nyala juga , stok lauk sy d lemari es udah mulai ngeluarin aroma 😔😔",Jadwal & Kegiatan,Tidak Berisiko
210,2026 masih blackout 😀🤣,Percakapan Biasa,Tidak Berisiko
211,maaaf...? kami telat bayar 3 hari udah di datengin dan ada kertas bertuliskan pemutusan sementara. adilkaah.....?,Transaksi Aman,Tidak Berisiko
212,Ganti rugi toll,Percakapan Biasa,Tidak Berisiko
213,"enaknya minta maaf"" klau bisa itu gantinya gratis listrik buat rakyat itu baru permintaan maaf yg betul",Informasi Umum,Tidak Berisiko
214,di mana pembangkit nya apa sama. semua dari su gura gura,Percakapan Biasa,Tidak Berisiko
215,skrng udah nyala kah bg?,Percakapan Biasa,Tidak Berisiko
216,"kami sebagai anak wifi, gak mau maafin🙄",Percakapan Biasa,Tidak Berisiko
217,mundur ajah,Percakapan Biasa,Tidak Berisiko
218,maaf aja?,Percakapan Biasa,Tidak Berisiko
219,enk x minta maaf klau gk sanggub mundur aja,Percakapan Biasa,Tidak Berisiko
220,Lampung ga di sebutin 😭 padahal mati lampu juga 😩,Percakapan Biasa,Tidak Berisiko
221,nanti malam katanya mati lampu lagi guys,Percakapan Biasa,Tidak Berisiko
222,"ini mati Lampu lagi Pak....
sekitar siantar-Simalungun....
pukul 15.00 wib sore ini",Jadwal & Kegiatan,Tidak Berisiko
223,di sni 24 jam😞,Percakapan Biasa,Tidak Berisiko
224,"kami mati lampu 24 jam dari habis magrib, lu pikir enak ya TDR kepanasan",Percakapan Biasa,Tidak Berisiko
225,ganti aja ni dirutnya,Percakapan Biasa,Tidak Berisiko
226,singkat saja berapa ton pak,Percakapan Biasa,Tidak Berisiko
227,yaa pak bunda terima minta maaf bapak,Percakapan Biasa,Tidak Berisiko
228,"rungkadd aku pakk hp ku satu hari mati,wifi pun join,air nggak ada pakk😭😭,tapi Alhamdulillah ud idupp iniee pakkk",Percakapan Biasa,Tidak Berisiko
229,apaan pak....smpai jam 6 pagi kami br idup lampu nyaa 😭😭😭 pekanbaru udh panassss kali dtmbah mati lampu 12 jam 😭😭😭,Jadwal & Kegiatan,Tidak Berisiko
230,tuntut pln nya karna merugikan masyarakat,Informasi Umum,Tidak Berisiko
231,"gamau di maafin, gak pulas tidur aku panas kali",Percakapan Biasa,Tidak Berisiko
232,"cepatlah nyala, ak ni belum nyuci😭😭😭😭",Percakapan Biasa,Tidak Berisiko
233,setelah ini jangan lupa mengundurkan diri 🤔,Percakapan Biasa,Tidak Berisiko
234,"kompensasi nya pak bukan cma mntak maaf di kota Jambi bgan pete dari 18:44 sampe jam 3:00 subuh, giliran bayar listrik aja telat langsung di putus listrik kami, giliran kyk g ni cma mntak maaf, bayar listrik chas TPI PLN Masi crita rugi, kompensasi nya jgn cma berdialog aja.",Transaksi Aman,Tidak Berisiko
235,jgn terlalu lama padam pak kami rakyat bayar tiap bln tinggi,Transaksi Aman,Tidak Berisiko
236,Kalau siang gak usah mati lampu dong panas bangettttt 😭😭,Percakapan Biasa,Tidak Berisiko
237,"gara "" PLN aku GK mandi 2 hari 🤣",Informasi Umum,Tidak Berisiko
238,"Gak bisa tidur , hp mati , signal gangguan . Serasa tidak ada kehidupan 😭",Percakapan Biasa,Tidak Berisiko
239,di tempat ku sampe sekarang belum nyala jirr,Percakapan Biasa,Tidak Berisiko
240,"liat storyku langit tadi malem, jujur sering sering aja 😭",Percakapan Biasa,Tidak Berisiko
241,"Ada apa dengan kejadian blackout ini,adakah sesuatu yang terjadi yang publik tidak tahu?",Percakapan Biasa,Tidak Berisiko
