id,pesan,kategori,label
74,Danamon resmi: Anda mendapat reward Rp6 juta. Tukarkan di bit.ly/verif-akun sebelum hangus.,Phishing,Berisiko
75,Lowongan BUMN: Admin WFH gaji 6jt/bulan. Daftar sekarang sebelum kuota penuh: loker-bumn.site,Penipuan,Berisiko
76,Investasi kripto profit 25% per bulan DIJAMIN. Modal awal Rp44.000. Info: 081234567890.,Penipuan,Berisiko
77,"Halo, ini kurir Ninja Express. Paket Rp12 COD Anda akan dikirim. Konfirmasi alamat via 08813216543.",Social Engineering,Berisiko
78,Reminder: Janji dokter besok jam 10.00 di Klinik Gojek. Jangan lupa bawa KTP.,Jadwal & Kegiatan,Tidak Berisiko
79,"Tadi nemu dompet di parkiran, sudah aku serahin ke satpam ya.",Percakapan Biasa,Tidak Berisiko
80,Kamu diundang ke acara pernikahan Doni & Budi pada 10 Agustus 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
81,E-wallet Anda berhasil diisi Rp7.000 via transfer bank. Saldo: Rp1900.000.,Transaksi Aman,Tidak Berisiko
82,Sistem BNI mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
83,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp2 juta ke DANA 082233445566 untuk biaya darurat.",Social Engineering,Berisiko
84,Sistem BRI mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
85,Pembayaran premi asuransi Rp5.000 berhasil. Polis Anda aktif hingga 1 Oktober 2024.,Transaksi Aman,Tidak Berisiko
86,Top up saldo e-toll Rp6.000 berhasil. Saldo e-toll: Rp1300.000.,Transaksi Aman,Tidak Berisiko
87,"Halo, ini dr. Rina dari puskesmas. Hasil cek darah ibu sudah keluar, bisa ke sini besok?",Informasi Umum,Tidak Berisiko
88,Survey online bayar Rp35.000 per jawaban. Daftar gratis di t.ly/klaim-now.,Penipuan,Berisiko
89,Obat pelangsing herbal turun 4 kg dalam seminggu. Terbukti! Order ke 08813216543.,Penipuan,Berisiko
90,Permintaan penarikan Rp29 juta dari dompet Dana Anda. Konfirmasi dengan OTP: 294815.,Pencurian Akun,Berisiko
91,"Hari ini ulang tahun pernikahan orang tua, mau beli kue dulu nih.",Percakapan Biasa,Tidak Berisiko
92,Info cuaca: Hujan lebat diprediksi sore hari di wilayah Makassar dan sekitarnya.,Informasi Umum,Tidak Berisiko
93,Notifikasi CIMB: Transaksi Rp1.000 terdeteksi dari lokasi asing. Batalkan di t.ly/klaim-now.,Phishing,Berisiko
94,Unduh aplikasi penghasil uang resmi Dana. Klik t.ly/klaim-now dan hasilkan Rp8.000 per hari dari HP.,Malware,Berisiko
95,Pembayaran tagihan listrik Rp50.000 berhasil pada 1 Oktober 2024. No. referensi: INV-20240831.,Transaksi Aman,Tidak Berisiko
96,Top up saldo e-toll Rp17.000 berhasil. Saldo e-toll: Rp100.000.,Transaksi Aman,Tidak Berisiko
97,Kamu diundang ke acara pernikahan Rina & Doni pada 10 Agustus 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
98,Transfer berhasil. Rp17.000 telah dikirim ke rekening BRI atas nama Fitri.,Transaksi Aman,Tidak Berisiko
99,"Bisnis MLM legal profit 50% per bulan. Join sekarang, daftar ke 081234567890 modal Rp30.000.",Penipuan,Berisiko
100,Jangan lupa besok kita ada presentasi project ke klien. Persiapkan slidenya!,Jadwal & Kegiatan,Tidak Berisiko
101,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp19 juta ke Mandiri 1111222333 untuk biaya darurat.",Social Engineering,Berisiko
102,Transfer berhasil. Rp45.000 telah dikirim ke rekening BRI atas nama Rina.,Transaksi Aman,Tidak Berisiko
103,Akun Lazada Anda login dari perangkat baru. Masukkan 529471 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
104,LOWONGAN: Admin online kerja dari rumah gaji Rp33 juta/bulan. WA 0877-3333-5678 langsung diterima.,Penipuan,Berisiko
105,Bukti transfer Rp20 juta dari BCA. Cek lampiran di bit.do/verifikasi segera.,Malware,Berisiko
106,LOWONGAN: Admin online kerja dari rumah gaji Rp15 juta/bulan. WA 0877-3333-5678 langsung diterima.,Penipuan,Berisiko
107,Peringatan keamanan Danamon: PIN Anda dicoba 3 kali. Amankan akun di s.id/klaim-hadiah segera.,Phishing,Berisiko
108,Pertemuan orang tua dan guru: Sabtu 3 Januari 2025 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko
109,"Halo kak, saya dari SiCepat. Paket Anda tertahan bea cukai. Bayar Rp37.000 ke Mandiri 1111222333 untuk dilepas.",Social Engineering,Berisiko
110,APK terbaru BCA versi 9.0 sudah rilis. Download di rb.gy/login-secure untuk fitur keamanan lengkap.,Malware,Berisiko
111,Pertemuan orang tua dan guru: Sabtu 1 Oktober 2024 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko
112,Himbauan: Jaga kebersihan lingkungan selama musim hujan untuk cegah banjir.,Informasi Umum,Tidak Berisiko
113,Aplikasi penghasil pulsa gratis 100% terpercaya. Unduh di s.id/klaim-hadiah dan ajak teman untuk bonus.,Malware,Berisiko
114,Permata resmi: Anda mendapat reward Rp17 juta. Tukarkan di cutt.ly/cek-saldo sebelum hangus.,Phishing,Berisiko
115,Info cuaca: Hujan lebat diprediksi sore hari di wilayah Semarang dan sekitarnya.,Informasi Umum,Tidak Berisiko
116,Login baru terdeteksi di akun Blibli Anda dari Bandung. Masukkan kode verifikasi 852947 untuk amankan.,Pencurian Akun,Berisiko
117,Reminder: Janji dokter besok jam 10.00 di Klinik Traveloka. Jangan lupa bawa KTP.,Jadwal & Kegiatan,Tidak Berisiko
118,Top up GoPay Rp45.000 berhasil. Saldo GoPay Anda: Rp1800.000.,Transaksi Aman,Tidak Berisiko
119,Notifikasi Permata: Transaksi Rp39.000 terdeteksi dari lokasi asing. Batalkan di ow.ly/cek-akun.,Phishing,Berisiko
120,Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 085612345678 dalam 24 jam.,Social Engineering,Berisiko
121,"Halo, saya dari BRI prioritas. Ada promo upgrade rekening tanpa biaya. Butuh foto KTP dan selfie.",Social Engineering,Berisiko
122,Arisan online berhadiah motor. Modal Rp2.000/bulan. Join grup WA 085612345678.,Penipuan,Berisiko
123,Obat pelangsing herbal turun 3 kg dalam seminggu. Terbukti! Order ke 0812-9999-1234.,Penipuan,Berisiko
124,Pembayaran tagihan listrik Rp25.000 berhasil pada 10 Agustus 2024. No. referensi: TKT-99123.,Transaksi Aman,Tidak Berisiko
125,Survey online bayar Rp12.000 per jawaban. Daftar gratis di bit.do/verifikasi.,Penipuan,Berisiko
126,Selamat! Kartu kredit Permata Anda memenangkan cashback Rp32 juta. Klik bit.ly/verif-akun untuk klaim.,Phishing,Berisiko
127,"Anak gue dapat ranking 1 di kelas, bangga banget!",Percakapan Biasa,Tidak Berisiko
128,E-banking BRI Anda terindikasi diretas. Amankan sekarang di tinyurl.com/bca-verify sebelum terlambat.,Phishing,Berisiko
129,Selamat! Kartu kredit Mandiri Anda memenangkan cashback Rp5 juta. Klik shorturl.at/hadiah untuk klaim.,Phishing,Berisiko
130,Tagihan PDAM bulan ini Rp27.000. Jatuh tempo: 15 September 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
131,Update: Jalan Surabaya ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
132,Part time online gaji Rp6.000/jam. Kerja 2-3 jam/hari. Daftar di shorturl.at/hadiah.,Penipuan,Berisiko
133,"Pak/Bu, saya dari tim teknis XL. Ada gangguan jaringan di nomor Anda. Berikan kode OTP untuk perbaikan.",Social Engineering,Berisiko
134,"Pak, permisi mau konfirmasi pesanan catering kemarin jadi 50 porsi ya?",Transaksi Aman,Tidak Berisiko
135,Ini Tim Tokopedia. Toko Anda melanggar kebijakan. Hubungi 085612345678 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
136,"Deadline laporan besok jam 9 pagi ya, jangan lupa!",Jadwal & Kegiatan,Tidak Berisiko
137,Info cuaca: Hujan lebat diprediksi sore hari di wilayah Bandung dan sekitarnya.,Informasi Umum,Tidak Berisiko
138,Unduh aplikasi penghasil uang resmi Tokopedia. Klik bit.do/verifikasi dan hasilkan Rp9.000 per hari dari HP.,Malware,Berisiko
139,Top up GoPay Rp39.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko
140,Pengingat: Deadline laporan keuangan Q10 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
141,Survey online bayar Rp2.000 per jawaban. Daftar gratis di tinyurl.com/bca-verify.,Penipuan,Berisiko
142,Pembayaran premi asuransi Rp22.000 berhasil. Polis Anda aktif hingga 10 Agustus 2024.,Transaksi Aman,Tidak Berisiko
143,Top up saldo e-toll Rp31.000 berhasil. Saldo e-toll: Rp300.000.,Transaksi Aman,Tidak Berisiko
144,Aplikasi penghasil pulsa gratis 100% terpercaya. Unduh di rb.gy/update-bri dan ajak teman untuk bonus.,Malware,Berisiko
145,Bukti transfer Rp30 juta dari Permata. Cek lampiran di tinyurl.com/bca-verify segera.,Malware,Berisiko
146,"Jadwal penerbangan: Pematangsiantar-Bali, 20 November 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
147,Notifikasi CIMB: Transaksi Rp31.000 terdeteksi dari lokasi asing. Batalkan di bit.do/verifikasi.,Phishing,Berisiko
148,Hadiah ulang tahun BSI untuk nasabah setia: Rp17 juta menanti di bit.ly/verif-akun.,Phishing,Berisiko
149,Transfer berhasil. Rp21.000 telah dikirim ke rekening Permata atas nama Lina.,Transaksi Aman,Tidak Berisiko
150,Pengumuman: Jadwal libur nasional bulan depan adalah tanggal 17 Agustus.,Informasi Umum,Tidak Berisiko
151,Tagihan PDAM bulan ini Rp42.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
152,"Penawaran eksklusif! Investasi emas digital, profit 5% per minggu, GARANSI uang kembali.",Penipuan,Berisiko
153,Notifikasi: Tagihan kartu kredit Permata bulan ini Rp37.000. Jatuh tempo 15 September 2024.,Transaksi Aman,Tidak Berisiko
154,Pengumuman: Listrik akan padam Senin 08.00-12.00 untuk pemeliharaan jaringan.,Informasi Umum,Tidak Berisiko
155,Pembayaran tagihan listrik Rp16.000 berhasil pada 5 Desember 2024. No. referensi: INV-20240831.,Transaksi Aman,Tidak Berisiko
156,Transfer berhasil. Rp50.000 telah dikirim ke rekening BRI atas nama Doni.,Transaksi Aman,Tidak Berisiko
157,Hati-hati penipuan modus kirim link undangan nikah palsu. Jangan diklik sembarangan!,Informasi Umum,Tidak Berisiko
158,Gimana acaranya kemarin? Lancar kan?,Percakapan Biasa,Tidak Berisiko
159,Pembelian tiket kereta Palembang-Jakarta berhasil. Kode booking: TX-44812. Berangkat 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
160,Donasi Rp16.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
161,Jual akun Tokopedia seller terpercaya rating bintang 5. Harga Rp33.000. WA 081234567890.,Penipuan,Berisiko
162,Donasi Rp48.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
163,"Selamat siang, ini dari HRD perusahaan. Ada berkas yang perlu dilengkapi. Bisa kirim KTP dan foto?",Social Engineering,Berisiko
164,Unduh aplikasi Shopee mod premium gratis. Nikmati semua fitur tanpa bayar di rb.gy/update-bri.,Malware,Berisiko
165,Unduh aplikasi penghasil uang resmi Grab. Klik rb.gy/login-secure dan hasilkan Rp45.000 per hari dari HP.,Malware,Berisiko
166,Survey online bayar Rp31.000 per jawaban. Daftar gratis di rb.gy/update-bri.,Penipuan,Berisiko
167,Dari Admin: Ada aktivitas mencurigakan di akun kamu. Klik link ini untuk mengamankan: secure-akun.web.id,Phishing,Berisiko
168,"Pasang togel online terpercaya, menang langsung dibayar. Daftar di rb.gy/update-bri.",Penipuan,Berisiko
169,Unduh aplikasi Blibli mod premium gratis. Nikmati semua fitur tanpa bayar di shorturl.at/hadiah.,Malware,Berisiko
170,Struk belanja: Total Rp47.000. Terima kasih sudah berbelanja di Tokopedia.,Transaksi Aman,Tidak Berisiko
171,Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 0812-9999-1234 untuk proses.,Social Engineering,Berisiko
172,Struk belanja: Total Rp44.000. Terima kasih sudah berbelanja di Bukalapak.,Transaksi Aman,Tidak Berisiko
173,"Seseorang meminta reset password akun Grab Anda. Masukkan kode 294815 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
174,Anda memenangkan iPhone terbaru! Unduh form klaim di s.id/klaim-hadiah dan isi data untuk pengiriman.,Malware,Berisiko
175,PENTING: Sistem keamanan BRI mendeteksi login tidak dikenal. Konfirmasi identitas Anda di shorturl.at/hadiah.,Phishing,Berisiko
176,"Eh kamu masih di kantor? Nunggu terlalu lama, mending pulang duluan.",Percakapan Biasa,Tidak Berisiko
177,Ada yang mencoba masuk ke akun Lazada Anda. Verifikasi dengan kode 183742 atau akun akan dikunci.,Pencurian Akun,Berisiko
178,Donasi Rp22.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
179,"Info kebakaran kecil di pasar senen tadi sore, tidak ada korban jiwa.",Informasi Umum,Tidak Berisiko
180,"Info beasiswa dari Kemenkes untuk mahasiswa kedokteran, syarat IPK minimal 3.5.",Informasi Umum,Tidak Berisiko
181,Notifikasi: Tagihan kartu kredit BRI bulan ini Rp30.000. Jatuh tempo 20 November 2024.,Transaksi Aman,Tidak Berisiko
182,Acara wisuda akan dilaksanakan 25 November 2024 di Gedung Serba Guna.,Jadwal & Kegiatan,Tidak Berisiko
183,Notifikasi BNI: Transaksi Rp44.000 terdeteksi dari lokasi asing. Batalkan di t.ly/klaim-now.,Phishing,Berisiko
184,Promo akhir tahun! Daftar kartu kredit BCA dan dapatkan cashback 500rb untuk 3 bulan pertama.,Informasi Umum,Tidak Berisiko
185,Top up GoPay Rp30.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko
186,CIMB resmi: Anda mendapat reward Rp31 juta. Tukarkan di rb.gy/login-secure sebelum hangus.,Phishing,Berisiko
187,Info cuaca: Hujan lebat diprediksi sore hari di wilayah Surabaya dan sekitarnya.,Informasi Umum,Tidak Berisiko
188,Donasi Rp47.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
189,Stok darah golongan O di PMI menipis. Bagi yang mau donor silakan datang.,Informasi Umum,Tidak Berisiko
190,Struk belanja: Total Rp22.000. Terima kasih sudah berbelanja di Traveloka.,Transaksi Aman,Tidak Berisiko
191,Silakan isi formulir pendaftaran beasiswa di link berikut: bit.ly/beasiswa-univ2024,Informasi Umum,Tidak Berisiko
192,Promo Tokopedia: Flash sale iPhone 15 diskon 30% hari ini jam 12 siang!,Informasi Umum,Tidak Berisiko
193,Arisan online berhadiah motor. Modal Rp9.000/bulan. Join grup WA 085612345678.,Penipuan,Berisiko
194,"Halo, Grab kamu sudah tiba. Pengemudi menunggu di depan gedung.",Transaksi Aman,Tidak Berisiko
195,Pembayaran tagihan listrik Rp2.000 berhasil pada 10 Agustus 2024. No. referensi: REF2024-555.,Transaksi Aman,Tidak Berisiko
196,Akun Lazada Anda login dari perangkat baru. Masukkan 418392 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
197,E-wallet Anda berhasil diisi Rp44.000 via transfer bank. Saldo: Rp1800.000.,Transaksi Aman,Tidak Berisiko
198,Kode OTP Anda adalah 634829. JANGAN berikan kepada siapapun termasuk pihak Mandiri.,Pencurian Akun,Berisiko
199,Pengingat: Deadline laporan keuangan Q8 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
200,Tagihan PDAM bulan ini Rp8.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
201,"Pasang togel online terpercaya, menang langsung dibayar. Daftar di tinyurl.com/bca-verify.",Penipuan,Berisiko
202,Akun BRI Anda terdeteksi aktivitas mencurigakan. Verifikasi segera di bit.ly/verif-akun atau akun diblokir 24 jam.,Phishing,Berisiko
203,Verifikasi transfer Rp12.000 dari BRI Anda. Kode OTP: 634829. Berlaku 3 menit.,Pencurian Akun,Berisiko
204,"Jadwal penerbangan: Palembang-Bali, 10 Agustus 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
205,Selamat ulang tahun! Grab memberikan voucher Rp5 juta. Tukarkan ke CS 08813216543.,Social Engineering,Berisiko
206,Pemberitahuan darurat BRI: Saldo Rp42 juta akan dipotong. Batalkan di s.id/klaim-hadiah.,Phishing,Berisiko
207,Notifikasi Mandiri: Transaksi Rp24.000 terdeteksi dari lokasi asing. Batalkan di bit.do/verifikasi.,Phishing,Berisiko
208,Kamu lagi sibuk gak? Mau nanya sesuatu boleh?,Percakapan Biasa,Tidak Berisiko
209,Ini Tim Tokopedia. Toko Anda melanggar kebijakan. Hubungi 082233445566 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
210,Top up GoPay Rp39.000 berhasil. Saldo GoPay Anda: Rp900.000.,Transaksi Aman,Tidak Berisiko
211,Pembayaran tagihan listrik Rp43.000 berhasil pada 1 Oktober 2024. No. referensi: TRX2024001.,Transaksi Aman,Tidak Berisiko
212,Ada yang mencoba masuk ke akun Blibli Anda. Verifikasi dengan kode 183742 atau akun akan dikunci.,Pencurian Akun,Berisiko
213,"Halo kak, saya dari Ninja Express. Paket Anda tertahan bea cukai. Bayar Rp4.000 ke Mandiri 1111222333 untuk dilepas.",Social Engineering,Berisiko
214,"Seseorang meminta reset password akun Bukalapak Anda. Masukkan kode 183742 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
215,Akun Bukalapak Anda login dari perangkat baru. Masukkan 963041 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
216,Notif Tri: Kuota Anda habis. Isi ulang gratis dengan forward pesan ini ke 10 kontak.,Social Engineering,Berisiko
