pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
ntar gue sialan beneran coli,Kata Kasar & Ancaman,Berisiko,ntar gue sialan beneran coli,"['ntar', 'gue', 'sialan', 'beneran', 'coli']","['ntar', 'gue', 'sialan', 'beneran', 'coli']","['ntar', 'gue', 'sialan', 'beneran', 'coli']",ntar gue sialan beneran coli
Jadwal posyandu bulan ini: setiap Rabu pukul 09.00 di balai warga RW 05.,Informasi Umum,Tidak Berisiko,jadwal posyandu bulan ini: setiap rabu pukul 09.00 di balai warga rw 05.,"['jadwal', 'posyandu', 'bulan', 'ini', 'setiap', 'rabu', 'pukul', 'di', 'balai', 'warga', 'rw']","['jadwal', 'posyandu', 'bulan', 'rabu', 'pukul', 'balai', 'warga', 'rw']","['jadwal', 'posyandu', 'bulan', 'rabu', 'pukul', 'balai', 'warga', 'rw']",jadwal posyandu bulan rabu pukul balai warga rw
Meeting jam berapa tadi? Gue ketinggalan info groupnya.,Percakapan Biasa,Tidak Berisiko,meeting jam berapa tadi? gue ketinggalan info groupnya.,"['meeting', 'jam', 'berapa', 'tadi', 'gue', 'ketinggalan', 'info', 'groupnya']","['meeting', 'jam', 'berapa', 'tadi', 'gue', 'ketinggalan', 'info', 'groupnya']","['meeting', 'jam', 'berapa', 'tadi', 'gue', 'tinggal', 'info', 'groupnya']",meeting jam berapa tadi gue tinggal info groupnya
dasar lo kon emang cekik,Kata Kasar & Ancaman,Berisiko,dasar lo kon emang cekik,"['dasar', 'lo', 'kon', 'emang', 'cekik']","['dasar', 'lo', 'kon', 'emang', 'cekik']","['dasar', 'lo', 'kon', 'emang', 'cekik']",dasar lo kon emang cekik
Saldo tabungan Permata Anda: Rp45 juta. Per tanggal 3 Januari 2025.,Transaksi Aman,Tidak Berisiko,saldo tabungan permata anda: rp45 juta. per tanggal 3 januari 2025.,"['saldo', 'tabungan', 'permata', 'anda', 'NOMINAL_UANG', 'per', 'tanggal', 'januari']","['saldo', 'tabungan', 'permata', 'NOMINAL_UANG', 'per', 'tanggal', 'januari']","['saldo', 'tabung', 'permata', 'NOMINAL_UANG', 'per', 'tanggal', 'januari']",saldo tabung permata NOMINAL_UANG per tanggal januari
Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 0812-9999-1234 untuk proses.,Social Engineering,Berisiko,saya dari divisi hadiah grab. anda menang grand prize. kirim foto ktp + selfie ke 0812-9999-1234 untuk proses.,"['saya', 'dari', 'divisi', 'hadiah', 'grab', 'anda', 'menang', 'grand', 'prize', 'kirim', 'foto', 'ktp', 'selfie', 'ke', 'NOMOR_HP_ASING', 'untuk', 'proses']","['divisi', 'hadiah', 'grab', 'menang', 'grand', 'prize', 'kirim', 'foto', 'ktp', 'selfie', 'NOMOR_HP_ASING', 'proses']","['divisi', 'hadiah', 'grab', 'menang', 'grand', 'prize', 'kirim', 'foto', 'ktp', 'selfie', 'NOMOR_HP_ASING', 'proses']",divisi hadiah grab menang grand prize kirim foto ktp selfie NOMOR_HP_ASING proses
Unduh file PDF penting ini untuk update informasi akun kamu: update-akun.xyz/doc.pdf,Phishing,Berisiko,unduh file pdf penting ini untuk update informasi akun kamu: update-akun.xyz/doc.pdf,"['unduh', 'file', 'pdf', 'penting', 'ini', 'untuk', 'update', 'informasi', 'akun', 'kamu', 'URL_CURIGA']","['unduh', 'file', 'pdf', 'penting', 'update', 'informasi', 'akun', 'URL_CURIGA']","['unduh', 'file', 'pdf', 'penting', 'update', 'informasi', 'akun', 'URL_CURIGA']",unduh file pdf penting update informasi akun URL_CURIGA
Eh mau ikut bukber alumni gak? Tanggal 15 di restoran Padang depan kampus.,Jadwal & Kegiatan,Tidak Berisiko,eh mau ikut bukber alumni gak? tanggal 15 di restoran padang depan kampus.,"['eh', 'mau', 'ikut', 'bukber', 'alumni', 'gak', 'tanggal', 'di', 'restoran', 'padang', 'depan', 'kampus']","['eh', 'mau', 'ikut', 'bukber', 'alumni', 'tanggal', 'restoran', 'padang', 'depan', 'kampus']","['eh', 'mau', 'ikut', 'bukber', 'alumni', 'tanggal', 'restoran', 'padang', 'depan', 'kampus']",eh mau ikut bukber alumni tanggal restoran padang depan kampus
mau gue porno ya,Kata Kasar & Ancaman,Berisiko,mau gue porno ya,"['mau', 'gue', 'porno', 'ya']","['mau', 'gue', 'porno']","['mau', 'gue', 'porno']",mau gue porno
Aplikasi penghasil pulsa gratis 100% terpercaya. Unduh di tinyurl.com/bca-verify dan ajak teman untuk bonus.,Malware,Berisiko,aplikasi penghasil pulsa gratis 100% terpercaya. unduh di tinyurl.com/bca-verify dan ajak teman untuk bonus.,"['aplikasi', 'penghasil', 'pulsa', 'gratis', 'terpercaya', 'unduh', 'di', 'URL_CURIGA', 'dan', 'ajak', 'teman', 'untuk', 'bonus']","['aplikasi', 'penghasil', 'pulsa', 'gratis', 'terpercaya', 'unduh', 'URL_CURIGA', 'ajak', 'teman', 'bonus']","['aplikasi', 'hasil', 'pulsa', 'gratis', 'percaya', 'unduh', 'URL_CURIGA', 'ajak', 'teman', 'bonus']",aplikasi hasil pulsa gratis percaya unduh URL_CURIGA ajak teman bonus
"Token listrik sudah saya bayarkan, ini kodenya: 7291-8374-1920-4857. Masukkan ke meteran ya",Transaksi Aman,Tidak Berisiko,"token listrik sudah saya bayarkan, ini kodenya: 7291-8374-1920-4857. masukkan ke meteran ya","['token', 'listrik', 'sudah', 'saya', 'bayarkan', 'ini', 'kodenya', 'masukkan', 'ke', 'meteran', 'ya']","['token', 'listrik', 'bayarkan', 'kodenya', 'masukkan', 'meteran']","['token', 'listrik', 'bayar', 'kode', 'masuk', 'meter']",token listrik bayar kode masuk meter
Jadwal posyandu bulan ini: Senin 11 November jam 8-11 pagi di balai RW.,Jadwal & Kegiatan,Tidak Berisiko,jadwal posyandu bulan ini: senin 11 november jam 8-11 pagi di balai rw.,"['jadwal', 'posyandu', 'bulan', 'ini', 'senin', 'november', 'jam', 'pagi', 'di', 'balai', 'rw']","['jadwal', 'posyandu', 'bulan', 'senin', 'november', 'jam', 'pagi', 'balai', 'rw']","['jadwal', 'posyandu', 'bulan', 'senin', 'november', 'jam', 'pagi', 'balai', 'rw']",jadwal posyandu bulan senin november jam pagi balai rw
Struk belanja: Total Rp31.000. Terima kasih sudah berbelanja di Gojek.,Transaksi Aman,Tidak Berisiko,struk belanja: total rp31.000. terima kasih sudah berbelanja di gojek.,"['struk', 'belanja', 'total', 'NOMINAL_UANG', 'terima', 'kasih', 'sudah', 'berbelanja', 'di', 'gojek']","['struk', 'belanja', 'total', 'NOMINAL_UANG', 'terima', 'kasih', 'berbelanja', 'gojek']","['struk', 'belanja', 'total', 'NOMINAL_UANG', 'terima', 'kasih', 'belanja', 'gojek']",struk belanja total NOMINAL_UANG terima kasih belanja gojek
Pengingat: Deadline laporan keuangan Q3 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko,pengingat: deadline laporan keuangan q3 adalah hari jumat pukul 17.00.,"['pengingat', 'deadline', 'laporan', 'keuangan', 'q', 'adalah', 'hari', 'jumat', 'pukul']","['pengingat', 'deadline', 'laporan', 'keuangan', 'hari', 'jumat', 'pukul']","['ingat', 'deadline', 'lapor', 'uang', 'hari', 'jumat', 'pukul']",ingat deadline lapor uang hari jumat pukul
APK terbaru BCA versi 9.0 sudah rilis. Download di rb.gy/login-secure untuk fitur keamanan lengkap.,Malware,Berisiko,apk terbaru bca versi 9.0 sudah rilis. download di rb.gy/login-secure untuk fitur keamanan lengkap.,"['apk', 'terbaru', 'bca', 'versi', 'sudah', 'rilis', 'download', 'di', 'URL_CURIGA', 'untuk', 'fitur', 'keamanan', 'lengkap']","['apk', 'terbaru', 'bca', 'versi', 'rilis', 'download', 'URL_CURIGA', 'fitur', 'keamanan', 'lengkap']","['apk', 'baru', 'bca', 'versi', 'rilis', 'download', 'URL_CURIGA', 'fitur', 'aman', 'lengkap']",apk baru bca versi rilis download URL_CURIGA fitur aman lengkap
Ujian semester: 3 Januari 2025 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko,ujian semester: 3 januari 2025 pukul 09.00. ruang ujian akan diumumkan h-1.,"['ujian', 'semester', 'januari', 'pukul', 'ruang', 'ujian', 'akan', 'diumumkan', 'h']","['ujian', 'semester', 'januari', 'pukul', 'ruang', 'ujian', 'diumumkan']","['uji', 'semester', 'januari', 'pukul', 'ruang', 'uji', 'umum']",uji semester januari pukul ruang uji umum
Layanan BNI Anda akan berakhir. Perpanjang sekarang di bit.ly/verif-akun agar tidak terputus.,Phishing,Berisiko,layanan bni anda akan berakhir. perpanjang sekarang di bit.ly/verif-akun agar tidak terputus.,"['layanan', 'bni', 'anda', 'akan', 'berakhir', 'perpanjang', 'sekarang', 'di', 'URL_CURIGA', 'agar', 'tidak', 'terputus']","['layanan', 'bni', 'berakhir', 'perpanjang', 'sekarang', 'URL_CURIGA', 'terputus']","['layan', 'bni', 'akhir', 'panjang', 'sekarang', 'URL_CURIGA', 'putus']",layan bni akhir panjang sekarang URL_CURIGA putus
"Info seminar gratis online tentang kewirausahaan, Sabtu pukul 10.00 WIB.",Informasi Umum,Tidak Berisiko,"info seminar gratis online tentang kewirausahaan, sabtu pukul 10.00 wib.","['info', 'seminar', 'gratis', 'online', 'tentang', 'kewirausahaan', 'sabtu', 'pukul', 'wib']","['info', 'seminar', 'gratis', 'online', 'kewirausahaan', 'sabtu', 'pukul', 'wib']","['info', 'seminar', 'gratis', 'online', 'kewirausahaan', 'sabtu', 'pukul', 'wib']",info seminar gratis online kewirausahaan sabtu pukul wib
Hadiah ulang tahun BCA untuk nasabah setia: Rp1 juta menanti di tinyurl.com/bca-verify.,Phishing,Berisiko,hadiah ulang tahun bca untuk nasabah setia: rp1 juta menanti di tinyurl.com/bca-verify.,"['hadiah', 'ulang', 'tahun', 'bca', 'untuk', 'nasabah', 'setia', 'NOMINAL_UANG', 'menanti', 'di', 'URL_CURIGA']","['hadiah', 'ulang', 'tahun', 'bca', 'nasabah', 'setia', 'NOMINAL_UANG', 'menanti', 'URL_CURIGA']","['hadiah', 'ulang', 'tahun', 'bca', 'nasabah', 'setia', 'NOMINAL_UANG', 'nanti', 'URL_CURIGA']",hadiah ulang tahun bca nasabah setia NOMINAL_UANG nanti URL_CURIGA
"Aku mau beli laptop second, kamu tau toko yang terpercaya gak di sini?",Percakapan Biasa,Tidak Berisiko,"aku mau beli laptop second, kamu tau toko yang terpercaya gak di sini?","['aku', 'mau', 'beli', 'laptop', 'second', 'kamu', 'tau', 'toko', 'yang', 'terpercaya', 'gak', 'di', 'sini']","['aku', 'mau', 'beli', 'laptop', 'second', 'tau', 'toko', 'terpercaya', 'sini']","['aku', 'mau', 'beli', 'laptop', 'second', 'tau', 'toko', 'percaya', 'sini']",aku mau beli laptop second tau toko percaya sini
Notifikasi Mandiri: Transfer masuk Rp2.500.000 dari AHMAD FAUZI. Saldo Rp8.750.000.,Transaksi Aman,Tidak Berisiko,notifikasi mandiri: transfer masuk rp2.500.000 dari ahmad fauzi. saldo rp8.750.000.,"['notifikasi', 'mandiri', 'transfer', 'masuk', 'NOMINAL_UANG', 'dari', 'ahmad', 'fauzi', 'saldo', 'NOMINAL_UANG']","['notifikasi', 'mandiri', 'transfer', 'masuk', 'NOMINAL_UANG', 'ahmad', 'fauzi', 'saldo', 'NOMINAL_UANG']","['notifikasi', 'mandiri', 'transfer', 'masuk', 'NOMINAL_UANG', 'ahmad', 'fauzi', 'saldo', 'NOMINAL_UANG']",notifikasi mandiri transfer masuk NOMINAL_UANG ahmad fauzi saldo NOMINAL_UANG
dasar lo taik emang bugil,Kata Kasar & Ancaman,Berisiko,dasar lo taik emang bugil,"['dasar', 'lo', 'taik', 'emang', 'bugil']","['dasar', 'lo', 'taik', 'emang', 'bugil']","['dasar', 'lo', 'taik', 'emang', 'bugil']",dasar lo taik emang bugil
"Aduh, baru sadar tadi lupa naruh kunci di mana. Panik banget!",Percakapan Biasa,Tidak Berisiko,"aduh, baru sadar tadi lupa naruh kunci di mana. panik banget!","['aduh', 'baru', 'sadar', 'tadi', 'lupa', 'naruh', 'kunci', 'di', 'mana', 'panik', 'banget']","['aduh', 'baru', 'sadar', 'tadi', 'lupa', 'naruh', 'kunci', 'mana', 'panik', 'banget']","['aduh', 'baru', 'sadar', 'tadi', 'lupa', 'naruh', 'kunci', 'mana', 'panik', 'banget']",aduh baru sadar tadi lupa naruh kunci mana panik banget
Pesanan berhasil dibatalkan. Refund Rp23.000 akan masuk dalam 3-5 hari kerja.,Transaksi Aman,Tidak Berisiko,pesanan berhasil dibatalkan. refund rp23.000 akan masuk dalam 3-5 hari kerja.,"['pesanan', 'berhasil', 'dibatalkan', 'refund', 'NOMINAL_UANGakan', 'masuk', 'dalam', 'hari', 'kerja']","['pesanan', 'berhasil', 'dibatalkan', 'refund', 'NOMINAL_UANGakan', 'masuk', 'hari', 'kerja']","['pesan', 'hasil', 'batal', 'refund', 'nominal uangakan', 'masuk', 'hari', 'kerja']",pesan hasil batal refund nominal uangakan masuk hari kerja
Tim keamanan Danamon menemukan kebocoran data. Reset password di cutt.ly/cek-saldo segera.,Phishing,Berisiko,tim keamanan danamon menemukan kebocoran data. reset password di cutt.ly/cek-saldo segera.,"['tim', 'keamanan', 'danamon', 'menemukan', 'kebocoran', 'data', 'reset', 'password', 'di', 'URL_CURIGA', 'segera']","['tim', 'keamanan', 'danamon', 'menemukan', 'kebocoran', 'data', 'reset', 'password', 'URL_CURIGA', 'segera']","['tim', 'aman', 'danamon', 'temu', 'bocor', 'data', 'reset', 'password', 'URL_CURIGA', 'segera']",tim aman danamon temu bocor data reset password URL_CURIGA segera
Selamat pagi Pak! Saya kirim file tugas lewat drive ya: drive.google.com/tugas-akhir,Informasi Umum,Tidak Berisiko,selamat pagi pak! saya kirim file tugas lewat drive ya: drive.google.com/tugas-akhir,"['selamat', 'pagi', 'pak', 'saya', 'kirim', 'file', 'tugas', 'lewat', 'drive', 'ya', 'drive', 'google', 'com', 'tugas', 'akhir']","['selamat', 'pagi', 'pak', 'kirim', 'file', 'tugas', 'lewat', 'drive', 'drive', 'google', 'com', 'tugas', 'akhir']","['selamat', 'pagi', 'pak', 'kirim', 'file', 'tugas', 'lewat', 'drive', 'drive', 'google', 'com', 'tugas', 'akhir']",selamat pagi pak kirim file tugas lewat drive drive google com tugas akhir
"Hai kak, saya dari CS Shopee resmi. Pesanan kamu gagal dikirim. Bisa konfirmasi alamat lewat aplikasi?",Informasi Umum,Tidak Berisiko,"hai kak, saya dari cs shopee resmi. pesanan kamu gagal dikirim. bisa konfirmasi alamat lewat aplikasi?","['hai', 'kak', 'saya', 'dari', 'cs', 'shopee', 'resmi', 'pesanan', 'kamu', 'gagal', 'dikirim', 'bisa', 'konfirmasi', 'alamat', 'lewat', 'aplikasi']","['hai', 'kak', 'cs', 'shopee', 'resmi', 'pesanan', 'gagal', 'dikirim', 'konfirmasi', 'alamat', 'lewat', 'aplikasi']","['hai', 'kak', 'cs', 'shopee', 'resmi', 'pesan', 'gagal', 'kirim', 'konfirmasi', 'alamat', 'lewat', 'aplikasi']",hai kak cs shopee resmi pesan gagal kirim konfirmasi alamat lewat aplikasi
Pembayaran angsuran motor Honda bulan Oktober sudah diterima. Terimakasih!,Transaksi Aman,Tidak Berisiko,pembayaran angsuran motor honda bulan oktober sudah diterima. terimakasih!,"['pembayaran', 'angsuran', 'motor', 'honda', 'bulan', 'oktober', 'sudah', 'diterima', 'terimakasih']","['pembayaran', 'angsuran', 'motor', 'honda', 'bulan', 'oktober', 'diterima', 'terimakasih']","['bayar', 'angsur', 'motor', 'honda', 'bulan', 'oktober', 'terima', 'terimakasih']",bayar angsur motor honda bulan oktober terima terimakasih
"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 087712345678.",Penipuan,Berisiko,"kredit hp tanpa kartu kredit, tanpa dp, bunga 0%. proses cepat, wa 087712345678.","['kredit', 'hp', 'tanpa', 'kartu', 'kredit', 'tanpa', 'dp', 'bunga', 'proses', 'cepat', 'wa', 'NOMOR_HP_ASING']","['kredit', 'hp', 'kartu', 'kredit', 'dp', 'bunga', 'proses', 'cepat', 'wa', 'NOMOR_HP_ASING']","['kredit', 'hp', 'kartu', 'kredit', 'dp', 'bunga', 'proses', 'cepat', 'wa', 'NOMOR_HP_ASING']",kredit hp kartu kredit dp bunga proses cepat wa NOMOR_HP_ASING
Hari ini gue resign dari kantor. Udah saatnya coba hal baru!,Percakapan Biasa,Tidak Berisiko,hari ini gue resign dari kantor. udah saatnya coba hal baru!,"['hari', 'ini', 'gue', 'resign', 'dari', 'kantor', 'udah', 'saatnya', 'coba', 'hal', 'baru']","['hari', 'gue', 'resign', 'kantor', 'udah', 'saatnya', 'coba', 'baru']","['hari', 'gue', 'resign', 'kantor', 'udah', 'saat', 'coba', 'baru']",hari gue resign kantor udah saat coba baru
emang cabul dari sananya,Kata Kasar & Ancaman,Berisiko,emang cabul dari sananya,"['emang', 'cabul', 'dari', 'sananya']","['emang', 'cabul', 'sananya']","['emang', 'cabul', 'sana']",emang cabul sana
Pertemuan orang tua dan guru: Sabtu 3 Januari 2025 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko,pertemuan orang tua dan guru: sabtu 3 januari 2025 pukul 09.00 di aula sekolah.,"['pertemuan', 'orang', 'tua', 'dan', 'guru', 'sabtu', 'januari', 'pukul', 'di', 'aula', 'sekolah']","['pertemuan', 'orang', 'tua', 'guru', 'sabtu', 'januari', 'pukul', 'aula', 'sekolah']","['temu', 'orang', 'tua', 'guru', 'sabtu', 'januari', 'pukul', 'aula', 'sekolah']",temu orang tua guru sabtu januari pukul aula sekolah
tonjok banget,Kata Kasar & Ancaman,Berisiko,tonjok banget,"['tonjok', 'banget']","['tonjok', 'banget']","['tonjok', 'banget']",tonjok banget
Pembayaran premi asuransi Rp41.000 berhasil. Polis Anda aktif hingga 3 Januari 2025.,Transaksi Aman,Tidak Berisiko,pembayaran premi asuransi rp41.000 berhasil. polis anda aktif hingga 3 januari 2025.,"['pembayaran', 'premi', 'asuransi', 'NOMINAL_UANGberhasil', 'polis', 'anda', 'aktif', 'hingga', 'januari']","['pembayaran', 'premi', 'asuransi', 'NOMINAL_UANGberhasil', 'polis', 'aktif', 'hingga', 'januari']","['bayar', 'premi', 'asuransi', 'nominal uangberhasil', 'polis', 'aktif', 'hingga', 'januari']",bayar premi asuransi nominal uangberhasil polis aktif hingga januari
ntar gue anjing beneran siksa,Kata Kasar & Ancaman,Berisiko,ntar gue anjing beneran siksa,"['ntar', 'gue', 'anjing', 'beneran', 'siksa']","['ntar', 'gue', 'anjing', 'beneran', 'siksa']","['ntar', 'gue', 'anjing', 'beneran', 'siksa']",ntar gue anjing beneran siksa
Update aplikasi Go-Jek ke versi terbaru untuk fitur pelacakan lebih akurat.,Informasi Umum,Tidak Berisiko,update aplikasi go-jek ke versi terbaru untuk fitur pelacakan lebih akurat.,"['update', 'aplikasi', 'go', 'jek', 'ke', 'versi', 'terbaru', 'untuk', 'fitur', 'pelacakan', 'lebih', 'akurat']","['update', 'aplikasi', 'go', 'jek', 'versi', 'terbaru', 'fitur', 'pelacakan', 'lebih', 'akurat']","['update', 'aplikasi', 'go', 'jek', 'versi', 'baru', 'fitur', 'lacak', 'lebih', 'akurat']",update aplikasi go jek versi baru fitur lacak lebih akurat
"Halo, ini kurir Anteraja. Paket Rp25 COD Anda akan dikirim. Konfirmasi alamat via 0822-1111-9999.",Social Engineering,Berisiko,"halo, ini kurir anteraja. paket rp25 cod anda akan dikirim. konfirmasi alamat via 0822-1111-9999.","['halo', 'ini', 'kurir', 'anteraja', 'paket', 'NOMINAL_UANGcod', 'anda', 'akan', 'dikirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']","['halo', 'kurir', 'anteraja', 'paket', 'NOMINAL_UANGcod', 'dikirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']","['halo', 'kurir', 'anteraja', 'paket', 'nominal uangcod', 'kirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']",halo kurir anteraja paket nominal uangcod kirim konfirmasi alamat via NOMOR_HP_ASING
Struk belanja: Total Rp35.000. Terima kasih sudah berbelanja di Lazada.,Transaksi Aman,Tidak Berisiko,struk belanja: total rp35.000. terima kasih sudah berbelanja di lazada.,"['struk', 'belanja', 'total', 'NOMINAL_UANG', 'terima', 'kasih', 'sudah', 'berbelanja', 'di', 'lazada']","['struk', 'belanja', 'total', 'NOMINAL_UANG', 'terima', 'kasih', 'berbelanja', 'lazada']","['struk', 'belanja', 'total', 'NOMINAL_UANG', 'terima', 'kasih', 'belanja', 'lazada']",struk belanja total NOMINAL_UANG terima kasih belanja lazada
Jual rumah subsidi DP 0% di Medan. Harga Rp39 juta all-in. Hubungi 087712345678 sekarang.,Penipuan,Berisiko,jual rumah subsidi dp 0% di medan. harga rp39 juta all-in. hubungi 087712345678 sekarang.,"['jual', 'rumah', 'subsidi', 'dp', 'di', 'medan', 'harga', 'NOMINAL_UANG', 'all', 'in', 'hubungi', 'NOMOR_HP_ASING', 'sekarang']","['jual', 'rumah', 'subsidi', 'dp', 'medan', 'harga', 'NOMINAL_UANG', 'all', 'in', 'hubungi', 'NOMOR_HP_ASING', 'sekarang']","['jual', 'rumah', 'subsidi', 'dp', 'medan', 'harga', 'NOMINAL_UANG', 'all', 'in', 'hubung', 'NOMOR_HP_ASING', 'sekarang']",jual rumah subsidi dp medan harga NOMINAL_UANG all in hubung NOMOR_HP_ASING sekarang
"Jadwal penerbangan: Semarang-Bali, 10 Agustus 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko,"jadwal penerbangan: semarang-bali, 10 agustus 2024 pukul 07.30. check-in 2 jam sebelumnya.","['jadwal', 'penerbangan', 'semarang', 'bali', 'agustus', 'pukul', 'check', 'in', 'jam', 'sebelumnya']","['jadwal', 'penerbangan', 'semarang', 'bali', 'agustus', 'pukul', 'check', 'in', 'jam', 'sebelumnya']","['jadwal', 'terbang', 'semarang', 'bal', 'agustus', 'pukul', 'check', 'in', 'jam', 'belum']",jadwal terbang semarang bal agustus pukul check in jam belum
Tagihan PDAM bulan ini Rp13.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko,tagihan pdam bulan ini rp13.000. jatuh tempo: 10 agustus 2024. bayar tepat waktu.,"['tagihan', 'pdam', 'bulan', 'ini', 'NOMINAL_UANG', 'jatuh', 'tempo', 'agustus', 'bayar', 'tepat', 'waktu']","['tagihan', 'pdam', 'bulan', 'NOMINAL_UANG', 'jatuh', 'tempo', 'agustus', 'bayar', 'tepat', 'waktu']","['tagih', 'pdam', 'bulan', 'NOMINAL_UANG', 'jatuh', 'tempo', 'agustus', 'bayar', 'tepat', 'waktu']",tagih pdam bulan NOMINAL_UANG jatuh tempo agustus bayar tepat waktu
hei rasis,Kata Kasar & Ancaman,Berisiko,hei rasis,"['hei', 'rasis']","['hei', 'rasis']","['hei', 'rasis']",hei rasis
