pesan,kategori,label
Tim keamanan Danamon menemukan kebocoran data. Reset password di cutt.ly/cek-saldo segera.,Phishing,Berisiko
Selamat pagi Pak! Saya kirim file tugas lewat drive ya: drive.google.com/tugas-akhir,Informasi Umum,Tidak Berisiko
"Hai kak, saya dari CS Shopee resmi. Pesanan kamu gagal dikirim. Bisa konfirmasi alamat lewat aplikasi?",Informasi Umum,Tidak Berisiko
Pembayaran angsuran motor Honda bulan Oktober sudah diterima. Terimakasih!,Transaksi Aman,Tidak Berisiko
"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 087712345678.",Penipuan,Berisiko
Hari ini gue resign dari kantor. Udah saatnya coba hal baru!,Percakapan Biasa,Tidak Berisiko
emang cabul dari sananya,Kata Kasar & Ancaman,Berisiko
Pertemuan orang tua dan guru: Sabtu 3 Januari 2025 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko
tonjok banget,Kata Kasar & Ancaman,Berisiko
Pembayaran premi asuransi Rp41.000 berhasil. Polis Anda aktif hingga 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
ntar gue anjing beneran siksa,Kata Kasar & Ancaman,Berisiko
Update aplikasi Go-Jek ke versi terbaru untuk fitur pelacakan lebih akurat.,Informasi Umum,Tidak Berisiko
"Halo, ini kurir Anteraja. Paket Rp25 COD Anda akan dikirim. Konfirmasi alamat via 0822-1111-9999.",Social Engineering,Berisiko
Struk belanja: Total Rp35.000. Terima kasih sudah berbelanja di Lazada.,Transaksi Aman,Tidak Berisiko
Jual rumah subsidi DP 0% di Medan. Harga Rp39 juta all-in. Hubungi 087712345678 sekarang.,Penipuan,Berisiko
"Jadwal penerbangan: Semarang-Bali, 10 Agustus 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
Tagihan PDAM bulan ini Rp13.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
hei rasis,Kata Kasar & Ancaman,Berisiko
Anda memenangkan iPhone terbaru! Unduh form klaim di shorturl.at/hadiah dan isi data untuk pengiriman.,Malware,Berisiko
Unduh aplikasi Shopee mod premium gratis. Nikmati semua fitur tanpa bayar di rb.gy/update-bri.,Malware,Berisiko
dasar habisi,Kata Kasar & Ancaman,Berisiko
Kamu mau ikut reuni angkatan bulan depan gak?,Percakapan Biasa,Tidak Berisiko
beneran deh sundal lo itu tai,Kata Kasar & Ancaman,Berisiko
hei hajar,Kata Kasar & Ancaman,Berisiko
muka kon lo,Kata Kasar & Ancaman,Berisiko
"Gas rumah sakit yuk, nengokin Pak Hendra yang baru operasi.",Percakapan Biasa,Tidak Berisiko
BCA resmi: Anda mendapat reward Rp39 juta. Tukarkan di bit.ly/verif-akun sebelum hangus.,Phishing,Berisiko
Transfer berhasil. Rp50.000 telah dikirim ke rekening BRI atas nama Doni.,Transaksi Aman,Tidak Berisiko
Pembayaran tagihan listrik Rp43.000 berhasil pada 1 Oktober 2024. No. referensi: TRX2024001.,Transaksi Aman,Tidak Berisiko
"Halo, ini dr. Rina dari puskesmas. Hasil cek darah ibu sudah keluar, bisa ke sini besok?",Informasi Umum,Tidak Berisiko
Unduh aplikasi Blibli mod premium gratis. Nikmati semua fitur tanpa bayar di shorturl.at/hadiah.,Malware,Berisiko
bosen gue sama tingkah ngentot lo bodoh banget,Kata Kasar & Ancaman,Berisiko
Layanan CIMB Anda akan berakhir. Perpanjang sekarang di rb.gy/login-secure agar tidak terputus.,Phishing,Berisiko
Part time online gaji Rp39.000/jam. Kerja 2-3 jam/hari. Daftar di cutt.ly/cek-saldo.,Penipuan,Berisiko
Info penting: Akun WhatsApp kamu mungkin bisa diretas kalau klik link sembarangan. Stay safe!,Informasi Umum,Tidak Berisiko
Ini kurir Anteraja. Paket kamu sudah 3 hari tidak diambil. Konfirmasi ulang alamat di: antr-id.com,Phishing,Berisiko
Penerimaan CPNS dibuka bulan depan. Info lengkap di portal resmi BKN.,Informasi Umum,Tidak Berisiko
"Deadline laporan besok jam 9 pagi ya, jangan lupa!",Jadwal & Kegiatan,Tidak Berisiko
lo lonte,Kata Kasar & Ancaman,Berisiko
Promo terbatas: Dapat uang Rp200rb hanya dengan like dan share postingan ini. Daftar: like-duit.id,Penipuan,Berisiko
"Tadi nemu dompet di parkiran, sudah aku serahin ke satpam ya.",Percakapan Biasa,Tidak Berisiko
Donasi Rp44.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
Top up GoPay Rp30.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko
Lomba memasak RT akan dilaksanakan Minggu tanggal 3 November jam 9 pagi.,Jadwal & Kegiatan,Tidak Berisiko
sudah tau diri tai,Kata Kasar & Ancaman,Berisiko
udah diem masturbasi,Kata Kasar & Ancaman,Berisiko
hei taik,Kata Kasar & Ancaman,Berisiko
Admin marketplace menghubungi Anda terkait komplain pembeli. Respon segera di 0877-3333-5678.,Social Engineering,Berisiko
otak cuk ngomong sembarangan,Kata Kasar & Ancaman,Berisiko
Permata resmi: Anda mendapat reward Rp17 juta. Tukarkan di cutt.ly/cek-saldo sebelum hangus.,Phishing,Berisiko
"Halo, ini kurir Ninja Express. Paket Rp19 COD Anda akan dikirim. Konfirmasi alamat via 0812-9999-1234.",Social Engineering,Berisiko
jangan sampe ketemu cekik lo nanti,Kata Kasar & Ancaman,Berisiko
kamu dungu banget sih semprot,Kata Kasar & Ancaman,Berisiko
PENTING: Sistem keamanan BRI mendeteksi login tidak dikenal. Konfirmasi identitas Anda di shorturl.at/hadiah.,Phishing,Berisiko
diem atau gue dasar cina,Kata Kasar & Ancaman,Berisiko
Transfer patungan kado untuk Reza sudah masuk ya. Makasih!,Transaksi Aman,Tidak Berisiko
Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 082233445566 dalam 24 jam.,Social Engineering,Berisiko
Pertemuan orang tua dan guru: Sabtu 5 Desember 2024 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko
Futsal bareng teman kantor tiap Jumat jam 7 malam. Siapa mau ikut?,Jadwal & Kegiatan,Tidak Berisiko
Konfirmasi transaksi Danamon Rp50 juta ke rekening tidak dikenal. Tolak di tinyurl.com/bca-verify.,Phishing,Berisiko
ngentot sama ngentot emang,Kata Kasar & Ancaman,Berisiko
"Ibu, nanti dijemput jam 5 ya. Aku lagi di jalan.",Percakapan Biasa,Tidak Berisiko
"Makasih udah temani tadi malam, seneng banget ngobrolnya.",Percakapan Biasa,Tidak Berisiko
ya setan emang kelakuan lo geblek,Kata Kasar & Ancaman,Berisiko
"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 0822-1111-9999.",Penipuan,Berisiko
Pembayaran tagihan listrik Rp25.000 berhasil pada 10 Agustus 2024. No. referensi: TKT-99123.,Transaksi Aman,Tidak Berisiko
Update: Jalan Medan ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
Survey online bayar Rp2.000 per jawaban. Daftar gratis di tinyurl.com/bca-verify.,Penipuan,Berisiko
Kamu bisa rekomendasiin dokter gigi yang bagus gak di sini?,Percakapan Biasa,Tidak Berisiko
Sistem BNI mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
ntar gue gebuk beneran,Kata Kasar & Ancaman,Berisiko
Akun Bukalapak Anda login dari perangkat baru. Masukkan 376429 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
dasar jancuk,Kata Kasar & Ancaman,Berisiko
otak brengsek ngomong sembarangan kontol,Kata Kasar & Ancaman,Berisiko
cabul banget,Kata Kasar & Ancaman,Berisiko
eh kontol diem lo,Kata Kasar & Ancaman,Berisiko
Pembayaran premi asuransi Rp37.000 berhasil. Polis Anda aktif hingga 5 Desember 2024.,Transaksi Aman,Tidak Berisiko
dasar lo cekik emang,Kata Kasar & Ancaman,Berisiko
Hati-hati penipuan modus kirim link undangan nikah palsu. Jangan diklik sembarangan!,Informasi Umum,Tidak Berisiko
sumpah hidung belang banget,Kata Kasar & Ancaman,Berisiko
Part time online gaji Rp47.000/jam. Kerja 2-3 jam/hari. Daftar di rb.gy/login-secure.,Penipuan,Berisiko
tunggu aja lo gue serang penis,Kata Kasar & Ancaman,Berisiko
Selamat ulang tahun! Gojek memberikan voucher Rp16 juta. Tukarkan ke CS 08813216543.,Social Engineering,Berisiko
Pembelian tiket kereta Palembang-Jakarta berhasil. Kode booking: TX-44812. Berangkat 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
Update wajib WhatsApp versi terbaru. Unduh APK resmi di bit.ly/verif-akun sebelum akun Anda dinonaktifkan.,Malware,Berisiko
Arisan online berhadiah motor. Modal Rp9.000/bulan. Join grup WA 085612345678.,Penipuan,Berisiko
Reminder: Pembayaran SPP bulan ini paling lambat tanggal 10.,Informasi Umum,Tidak Berisiko
anak bokep bokep,Kata Kasar & Ancaman,Berisiko
sudah tau diri sundal,Kata Kasar & Ancaman,Berisiko
emang murahan dari sananya,Kata Kasar & Ancaman,Berisiko
Pembelian tiket kereta Makassar-Jakarta berhasil. Kode booking: INV-20240831. Berangkat 20 November 2024.,Transaksi Aman,Tidak Berisiko
eh porno,Kata Kasar & Ancaman,Berisiko
Update wajib WhatsApp versi terbaru. Unduh APK resmi di rb.gy/update-bri sebelum akun Anda dinonaktifkan.,Malware,Berisiko
Selamat! Kartu kredit Mandiri Anda memenangkan cashback Rp5 juta. Klik shorturl.at/hadiah untuk klaim.,Phishing,Berisiko
Tagihan PDAM bulan ini Rp17.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
Saya dari divisi hadiah Shopee. Anda menang grand prize. Kirim foto KTP + selfie ke 082233445566 untuk proses.,Social Engineering,Berisiko
Kamu diundang ke acara pernikahan Hendra & Doni pada 15 September 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
memek banget,Kata Kasar & Ancaman,Berisiko
Try Out UTBK gratis angkatan 12 SMA dilaksanakan Sabtu ini jam 7 pagi.,Jadwal & Kegiatan,Tidak Berisiko
Tim keamanan BCA menemukan kebocoran data. Reset password di s.id/klaim-hadiah segera.,Phishing,Berisiko
lo murahan itu beneran dasar bule,Kata Kasar & Ancaman,Berisiko
"Halo kak, saya dari Ninja Express. Paket Anda tertahan bea cukai. Bayar Rp9.000 ke BRI 1234567890 untuk dilepas.",Social Engineering,Berisiko
Selamat! Nilai semester kamu sudah keluar. Login ke portal akademik untuk melihat KHS.,Informasi Umum,Tidak Berisiko
Investasi kripto profit 50% per bulan DIJAMIN. Modal awal Rp8.000. Info: 082233445566.,Penipuan,Berisiko
"Halo kak, ini admin marketplace. Ada masalah di pesanan Anda. Tolong hubungi WA 0822-1111-9999 sekarang.",Social Engineering,Berisiko
gue bilang tolol sama lo brengsek,Kata Kasar & Ancaman,Berisiko
lo cabul itu beneran,Kata Kasar & Ancaman,Berisiko
Notifikasi: Tagihan kartu kredit BRI bulan ini Rp11.000. Jatuh tempo 1 Oktober 2024.,Transaksi Aman,Tidak Berisiko
Saya dari divisi hadiah Dana. Anda menang grand prize. Kirim foto KTP + selfie ke 085612345678 untuk proses.,Social Engineering,Berisiko
Pengajian akbar dalam rangka Maulid Nabi akan diadakan Sabtu malam di lapangan.,Jadwal & Kegiatan,Tidak Berisiko
"Bro, titip beliin kopi dong kalau lewat. Yang biasa aja.",Percakapan Biasa,Tidak Berisiko
Konfirmasi transaksi BCA Rp22 juta ke rekening tidak dikenal. Tolak di ow.ly/cek-akun.,Phishing,Berisiko
Tagihan PDAM bulan ini Rp29.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
Pengingat: Deadline laporan keuangan Q1 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 08813216543 dalam 24 jam.,Social Engineering,Berisiko
Akun Bukalapak Anda login dari perangkat baru. Masukkan 294815 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
vagina banget,Kata Kasar & Ancaman,Berisiko
Pembayaran premi asuransi Rp41.000 berhasil. Polis Anda aktif hingga 15 September 2024.,Transaksi Aman,Tidak Berisiko
Login baru terdeteksi di akun Lazada Anda dari Surabaya. Masukkan kode verifikasi 074152 untuk amankan.,Pencurian Akun,Berisiko
Top up GoPay Rp39.000 berhasil. Saldo GoPay Anda: Rp900.000.,Transaksi Aman,Tidak Berisiko
tunggu aja lo gue bunuh,Kata Kasar & Ancaman,Berisiko
"Halo kak, saya dari Pos Indonesia. Paket Anda tertahan bea cukai. Bayar Rp24.000 ke DANA 082233445566 untuk dilepas.",Social Engineering,Berisiko
Ujian semester: 5 Desember 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
"Halo, ini kurir JNE. Paket Rp6 COD Anda akan dikirim. Konfirmasi alamat via 087712345678.",Social Engineering,Berisiko
lonte,Kata Kasar & Ancaman,Berisiko
E-money kamu berhasil diisi Rp200.000 di minimarket. Saldo sekarang Rp215.000.,Transaksi Aman,Tidak Berisiko
coli lo tahu gak kon,Kata Kasar & Ancaman,Berisiko
asu sama asu emang,Kata Kasar & Ancaman,Berisiko
udah diem brengsek perek,Kata Kasar & Ancaman,Berisiko
Anda memenangkan iPhone terbaru! Unduh form klaim di rb.gy/update-bri dan isi data untuk pengiriman.,Malware,Berisiko
Info cuaca: Hujan lebat diprediksi sore hari di wilayah Jakarta dan sekitarnya.,Informasi Umum,Tidak Berisiko
ngomong apa habisi,Kata Kasar & Ancaman,Berisiko
Kamu diundang ke acara pernikahan Rina & Doni pada 10 Agustus 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
tunggu aja lo gue colmek idiot,Kata Kasar & Ancaman,Berisiko
emang sundal dari sananya,Kata Kasar & Ancaman,Berisiko
Selamat! Nomor Anda terpilih program loyalitas Smartfren. Balas OTP yang dikirim ke CS kami di 08813216543.,Social Engineering,Berisiko
Pengingat: Deadline laporan keuangan Q11 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
bikin kesel keparat banget bodoh banget,Kata Kasar & Ancaman,Berisiko
"Assalamualaikum, ini Pak Umar ketua masjid. Pengajian malam Jumat ditunda pekan depan.",Jadwal & Kegiatan,Tidak Berisiko
PROMO: Tiket pesawat Bandung-Jakarta Rp41.000 PP. Booking sekarang di shorturl.at/hadiah sebelum habis.,Penipuan,Berisiko
Tagihan PDAM bulan ini Rp8.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
Donasi Rp1.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
"Info kebakaran kecil di pasar senen tadi sore, tidak ada korban jiwa.",Informasi Umum,Tidak Berisiko
eh sialan,Kata Kasar & Ancaman,Berisiko
Obat pelangsing herbal turun 4 kg dalam seminggu. Terbukti! Order ke 08813216543.,Penipuan,Berisiko
Cicilan bulan ke-1 dari 12 sebesar Rp33.000 berhasil didebet otomatis.,Transaksi Aman,Tidak Berisiko
Update: Jalan Balikpapan ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
sudah tau diri taik babi,Kata Kasar & Ancaman,Berisiko
Ini Tim Tokopedia. Toko Anda melanggar kebijakan. Hubungi 082233445566 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
dasar cuk lo!,Kata Kasar & Ancaman,Berisiko
Survey online bayar Rp10.000 per jawaban. Daftar gratis di shorturl.at/hadiah.,Penipuan,Berisiko
berani aja porno sama gue,Kata Kasar & Ancaman,Berisiko
Cicilan HP kamu Rp450.000/bulan sudah berhasil terpotong otomatis dari rekening.,Transaksi Aman,Tidak Berisiko
sekali lagi cabul lo brengsek,Kata Kasar & Ancaman,Berisiko
Tagihan PDAM bulan ini Rp24.000. Jatuh tempo: 5 Desember 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
"Selamat, Anda terpilih sebagai pemenang undian Bukalapak. Konfirmasi ke 08813216543 untuk klaim hadiah.",Social Engineering,Berisiko
yang bener aja gebuk kafir,Kata Kasar & Ancaman,Berisiko
Pemberitahuan darurat Permata: Saldo Rp4 juta akan dipotong. Batalkan di ow.ly/cek-akun.,Phishing,Berisiko
Peringatan keamanan BSI: PIN Anda dicoba 3 kali. Amankan akun di bit.do/verifikasi segera.,Phishing,Berisiko
tunggu aja lo gue kontol,Kata Kasar & Ancaman,Berisiko
Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 087712345678 untuk proses.,Social Engineering,Berisiko
Pengingat: Deadline laporan keuangan Q8 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
Tim keamanan BRI menemukan kebocoran data. Reset password di cutt.ly/cek-saldo segera.,Phishing,Berisiko
lo kira lo siapa sih rasis hajar,Kata Kasar & Ancaman,Berisiko
anak idiot,Kata Kasar & Ancaman,Berisiko
E-banking BSI Anda terindikasi diretas. Amankan sekarang di s.id/klaim-hadiah sebelum terlambat.,Phishing,Berisiko
bikin kesel asu banget iblis,Kata Kasar & Ancaman,Berisiko
lo kira lo siapa sih dungu rasis,Kata Kasar & Ancaman,Berisiko
"Agenda hari ini: Meeting klien 09.00, makan siang 12.00, presentasi 15.00.",Jadwal & Kegiatan,Tidak Berisiko
berani aja dasar bule sama gue pelacur,Kata Kasar & Ancaman,Berisiko
lo kira lo siapa sih pukul,Kata Kasar & Ancaman,Berisiko
Ujian semester: 1 Oktober 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
PROMO: Tiket pesawat Yogyakarta-Jakarta Rp1.000 PP. Booking sekarang di tinyurl.com/bca-verify sebelum habis.,Penipuan,Berisiko
Akun Shopee Anda login dari perangkat baru. Masukkan 074152 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
Ada yang mencoba masuk ke akun Lazada Anda. Verifikasi dengan kode 376429 atau akun akan dikunci.,Pencurian Akun,Berisiko
anjing!,Kata Kasar & Ancaman,Berisiko
taik banget,Kata Kasar & Ancaman,Berisiko
Peringatan keamanan BSI: PIN Anda dicoba 3 kali. Amankan akun di shorturl.at/hadiah segera.,Phishing,Berisiko
Cicilan bulan ke-4 dari 12 sebesar Rp15.000 berhasil didebet otomatis.,Transaksi Aman,Tidak Berisiko
dasar lo colmek emang,Kata Kasar & Ancaman,Berisiko
lo pikir lo siapa porno,Kata Kasar & Ancaman,Berisiko
Hadiah ulang tahun CIMB untuk nasabah setia: Rp3 juta menanti di ow.ly/cek-akun.,Phishing,Berisiko
Reset PIN Mandiri diminta. Kode keamanan Anda: 294815. Jangan berikan kepada siapapun.,Pencurian Akun,Berisiko
Akun BRI Anda terdeteksi aktivitas mencurigakan. Verifikasi segera di shorturl.at/hadiah atau akun diblokir 24 jam.,Phishing,Berisiko
Selamat! Kartu kredit BCA Anda memenangkan cashback Rp19 juta. Klik bit.do/verifikasi untuk klaim.,Phishing,Berisiko
Besok jadi ikut camping? Gue udah siap tenda nih!,Percakapan Biasa,Tidak Berisiko
pukul,Kata Kasar & Ancaman,Berisiko
emang rasis dari sananya,Kata Kasar & Ancaman,Berisiko
lo emang keparat dari dulu,Kata Kasar & Ancaman,Berisiko
jangan sampe ketemu bugil lo nanti,Kata Kasar & Ancaman,Berisiko
Notifikasi: Tagihan kartu kredit BTN bulan ini Rp8.000. Jatuh tempo 1 Oktober 2024.,Transaksi Aman,Tidak Berisiko
Selamat! Nomor Anda terpilih program loyalitas Indosat. Balas OTP yang dikirim ke CS kami di 08813216543.,Social Engineering,Berisiko
"Seseorang meminta reset password akun Bukalapak Anda. Masukkan kode 741836 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
Sistem BRI mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
"Pinjaman online cair 5 menit tanpa jaminan, tanpa BI checking. Proses di rb.gy/login-secure.",Penipuan,Berisiko
"Jadwal penerbangan: Semarang-Bali, 15 September 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
Ujian semester: 15 September 2024 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
Tagihan PDAM bulan ini Rp27.000. Jatuh tempo: 15 September 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
sekali lagi jahanam lo,Kata Kasar & Ancaman,Berisiko
Struk belanja: Total Rp16.000. Terima kasih sudah berbelanja di Lazada.,Transaksi Aman,Tidak Berisiko
mukanya kayak colmek,Kata Kasar & Ancaman,Berisiko
E-banking BSI Anda terindikasi diretas. Amankan sekarang di rb.gy/update-bri sebelum terlambat.,Phishing,Berisiko
omongannya terkutuk banget,Kata Kasar & Ancaman,Berisiko
"Training karyawan baru: Senin-Rabu minggu depan, pukul 08.00-16.00 di kantor.",Jadwal & Kegiatan,Tidak Berisiko
lo perek,Kata Kasar & Ancaman,Berisiko
muka musnahkan lo hancurkan,Kata Kasar & Ancaman,Berisiko
Kelas yoga online besok jam 07.00 via Zoom. Link dikirim terpisah.,Informasi Umum,Tidak Berisiko
URGENT: Kartu ATM kamu akan diblokir dalam 2 jam. Konfirmasi data di: atm-verif.com,Phishing,Berisiko
"Halo, ini kurir Ninja Express. Paket Rp12 COD Anda akan dikirim. Konfirmasi alamat via 08813216543.",Social Engineering,Berisiko
mau gue entot ya,Kata Kasar & Ancaman,Berisiko
Top up GoPay Rp39.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko
Kamu diundang ke acara pernikahan Agus & Fitri pada 15 September 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
Tagihan PDAM bulan ini Rp19.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
apa-apa lo perek,Kata Kasar & Ancaman,Berisiko
Hadiah ulang tahun BTN untuk nasabah setia: Rp44 juta menanti di cutt.ly/cek-saldo.,Phishing,Berisiko
Pembayaran premi asuransi Rp22.000 berhasil. Polis Anda aktif hingga 10 Agustus 2024.,Transaksi Aman,Tidak Berisiko
Notifikasi: Tagihan kartu kredit BSI bulan ini Rp21.000. Jatuh tempo 5 Desember 2024.,Transaksi Aman,Tidak Berisiko
Notifikasi: Tagihan kartu kredit BRI bulan ini Rp44.000. Jatuh tempo 15 September 2024.,Transaksi Aman,Tidak Berisiko
Donasi Rp2.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
Pengingat: Deadline laporan keuangan Q10 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
taik lo tahu gak bacok,Kata Kasar & Ancaman,Berisiko
tau diri dong musnahkan,Kata Kasar & Ancaman,Berisiko
Permata resmi: Anda mendapat reward Rp42 juta. Tukarkan di shorturl.at/hadiah sebelum hangus.,Phishing,Berisiko
Kerjaan hari ini banyak gak? Gue lagi lumayan santai nih.,Percakapan Biasa,Tidak Berisiko
Akun Blibli Anda login dari perangkat baru. Masukkan 183742 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
mesum,Kata Kasar & Ancaman,Berisiko
"Semangat ya ujiannya! Pasti bisa, udah belajar keras kok.",Percakapan Biasa,Tidak Berisiko
"Eh, tadi pas di alfamart ketemu Doni lho! Dia tanya-tanya kabar kamu.",Percakapan Biasa,Tidak Berisiko
dasar lo dasar bule emang cuk,Kata Kasar & Ancaman,Berisiko
Bukti transfer Rp25 juta dari BTN. Cek lampiran di bit.ly/verif-akun segera.,Malware,Berisiko
"Pinjaman online cair 5 menit tanpa jaminan, tanpa BI checking. Proses di ow.ly/cek-akun.",Penipuan,Berisiko
